#Transcript	Protein	Gene	Gene Description	Structural Category	Coding	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
PB.17059.5	Protein_PB.17059.5	USP9X	USP9X	incomplete-splice_match	YES	398.77	437.12	351.57
PB.17062.1	Protein_PB.17062.1	LOC113265881	LOC113265881	full-splice_match	YES	21.53	20.5	33.16
PB.17062.2		LOC113265881	LOC113265881	full-splice_match	NO	29.4	25.31	43.78
PB.17063.10	Protein_PB.17063.10	DDX3X	DDX3X	novel_in_catalog	YES	85.24	72.64	74.89
PB.17063.11	Protein_PB.17063.11	DDX3X	DDX3X	novel_in_catalog	YES	275.22	334.22	281.51
PB.17063.2	Protein_PB.17063.2	DDX3X	DDX3X	novel_in_catalog	YES	96.18	141.27	127.56
PB.17063.4	Protein_PB.17063.4	DDX3X	DDX3X	full-splice_match	YES	1533.78	1854.91	1529.41
PB.17063.5	Protein_PB.17063.5	DDX3X	DDX3X	novel_in_catalog	YES	351.86	454.24	349.67
PB.17063.7	Protein_PB.17063.7	DDX3X	DDX3X	novel_not_in_catalog	YES	158.93	159.53	153.31
PB.17063.9	Protein_PB.17063.9	DDX3X	DDX3X	novel_in_catalog	YES	175.84	196.59	180.14
PB.17067.1	Protein_PB.17067.1	GPR34	GPR34	full-splice_match	YES	19.09	20.82	11.83
PB.17076.1	Protein_PB.17076.1	LOC113265899	LOC113265899	novel_not_in_catalog	YES	51.33	57.9	52.36
PB.17076.3	Protein_PB.17076.3	LOC113265899	LOC113265899	full-splice_match	YES	475.6	429.89	182.02
PB.17076.4	Protein_PB.17076.4	LOC113265899	LOC113265899	novel_not_in_catalog	YES	880.86	764.62	354.1
PB.17076.5	Protein_PB.17076.5	LOC113265899	LOC113265899	novel_not_in_catalog	YES	13.08	35.56	66.05
PB.17087.2	Protein_PB.17087.2	KDM6A	KDM6A	full-splice_match	YES	85.98	32.61	64.25
PB.17087.4	Protein_PB.17087.4	KDM6A	KDM6A	full-splice_match	YES	44.42	81.87	84.28
PB.17087.5	Protein_PB.17087.5	KDM6A	KDM6A	full-splice_match	YES	89.47	66.01	23.76
PB.17087.6	Protein_PB.17087.6	KDM6A	KDM6A	full-splice_match	YES	81.37	124.02	104.99
PB.17093.2	Protein_PB.17093.2	RP2	RP2	full-splice_match	YES	79.93	91.57	67.79
PB.17093.6	Protein_PB.17093.6	RP2	RP2	full-splice_match	YES	7.58	22.41	5.83
PB.17093.8	Protein_PB.17093.8	RP2	RP2	incomplete-splice_match	YES	107.23	109.35	92.05
PB.17094.1	Protein_PB.17094.1	JADE3	JADE3	novel_not_in_catalog	YES	28.6	39.0	21.25
PB.17094.2	Protein_PB.17094.2	JADE3	JADE3	full-splice_match	YES	22.31	12.7	42.85
PB.17095.1	Protein_PB.17095.1	RGN	RGN	novel_not_in_catalog	YES	6139.32	5815.93	4455.03
PB.17095.2	Protein_PB.17095.2	RGN	RGN	novel_not_in_catalog	YES	62.56	60.14	56.7
PB.17095.3	Protein_PB.17095.3	RGN	RGN	novel_not_in_catalog	YES	86.65	56.35	114.97
PB.17095.4	Protein_PB.17095.4	RGN	RGN	full-splice_match	YES	199.25	197.56	206.43
PB.17095.5	Protein_PB.17095.5	RGN	RGN	full-splice_match	YES	242.75	233.19	203.83
PB.17095.6	Protein_PB.17095.6	RGN	RGN	full-splice_match	YES	4579.27	4196.33	3187.02
PB.17095.7	Protein_PB.17095.7	RGN	RGN	novel_in_catalog	YES	135.12	74.85	75.51
PB.17096.10	Protein_PB.17096.10	RBM10	RBM10	novel_in_catalog	YES	38.89	67.93	66.74
PB.17096.13	Protein_PB.17096.13	RBM10	RBM10	incomplete-splice_match	YES	35.31	27.98	17.87
PB.17096.4	Protein_PB.17096.4	RBM10	RBM10	full-splice_match	YES	29.24	19.53	4.68
PB.17096.6	Protein_PB.17096.6	RBM10	RBM10	novel_in_catalog	YES	21.41	16.42	21.22
PB.17096.7	Protein_PB.17096.7	RBM10	RBM10	full-splice_match	YES	16.62	39.73	35.06
PB.17096.9	Protein_PB.17096.9	RBM10	RBM10	novel_in_catalog	YES	25.72	19.28	11.49
PB.17097.1	Protein_PB.17097.1	UBA1	UBA1	full-splice_match	YES	109.13	73.72	66.17
PB.17097.2	Protein_PB.17097.2	UBA1	UBA1	novel_in_catalog	YES	18.09	22.35	18.91
PB.17097.3	Protein_PB.17097.3	UBA1	UBA1	novel_not_in_catalog	YES	41.6	28.68	43.14
PB.17097.4	Protein_PB.17097.4	UBA1	UBA1	novel_not_in_catalog	YES	50.26	22.2	87.68
PB.17097.6	Protein_PB.17097.6	UBA1	UBA1	novel_not_in_catalog	YES	453.18	424.36	334.87
PB.17097.7	Protein_PB.17097.7	UBA1	UBA1	full-splice_match	YES	249.07	235.15	195.45
PB.17097.8	Protein_PB.17097.8	UBA1	UBA1	full-splice_match	YES	70.5	55.79	40.87
PB.17097.9	Protein_PB.17097.9	UBA1	UBA1	incomplete-splice_match	YES	44.89	11.67	36.66
PB.17098.1	Protein_PB.17098.1	CDK16	CDK16	full-splice_match	YES	145.95	135.1	124.26
PB.17098.5	Protein_PB.17098.5	CDK16	CDK16	full-splice_match	YES	49.78	29.84	42.63
PB.17099.14	Protein_PB.17099.14	USP11	USP11	novel_not_in_catalog	YES	10.31	12.32	24.24
PB.17099.17	Protein_PB.17099.17	USP11	USP11	novel_not_in_catalog	YES	66.2	65.52	43.41
PB.17099.2	Protein_PB.17099.2	USP11	USP11	novel_in_catalog	YES	2.74	17.51	2.61
PB.17099.21	Protein_PB.17099.21	USP11	USP11	novel_not_in_catalog	YES	23.74	26.76	16.48
PB.17099.26	Protein_PB.17099.26	USP11	USP11	novel_not_in_catalog	YES	27.47	20.11	34.16
PB.17099.27	Protein_PB.17099.27	USP11	USP11	novel_not_in_catalog	YES	56.43	56.26	38.44
PB.17099.28	Protein_PB.17099.28	USP11	USP11	novel_not_in_catalog	YES	108.0	100.67	33.68
PB.17099.30	Protein_PB.17099.30	USP11	USP11	novel_not_in_catalog	YES	32.19	31.24	42.83
PB.17099.32	Protein_PB.17099.32	USP11	USP11	novel_not_in_catalog	YES	24.55	43.42	73.43
PB.17099.35	Protein_PB.17099.35	USP11	USP11	novel_not_in_catalog	YES	24.03	10.98	4.31
PB.17099.36	Protein_PB.17099.36	USP11	USP11	novel_not_in_catalog	YES	30.55	33.97	43.61
PB.17099.49	Protein_PB.17099.49	USP11	USP11	novel_not_in_catalog	YES	52.03	36.35	83.97
PB.171.3	Protein_PB.171.3	HSPA13	HSPA13	novel_not_in_catalog	YES	79.3	95.16	89.56
PB.171.4	Protein_PB.171.4	HSPA13	HSPA13	full-splice_match	YES	75.85	133.99	114.54
PB.17102.1	Protein_PB.17102.1	ZNF81	ZNF81	full-splice_match	YES	383.75	164.82	356.92
PB.17102.10	Protein_PB.17102.10	ZNF81	ZNF81	novel_in_catalog	YES	135.51	353.57	223.8
PB.17102.12		ZNF81	ZNF81	novel_not_in_catalog	NO	71.18	65.13	72.68
PB.17102.9	Protein_PB.17102.9	ZNF81	ZNF81	novel_in_catalog	YES	37.15	26.51	26.91
PB.17103.10	Protein_PB.17103.10	ARAF	ARAF	novel_in_catalog	YES	40.91	42.31	48.13
PB.17103.3	Protein_PB.17103.3	ARAF	ARAF	incomplete-splice_match	YES	44.32	41.65	28.3
PB.17103.4	Protein_PB.17103.4	ARAF	ARAF	novel_not_in_catalog	YES	3.42	20.23	11.23
PB.17103.5	Protein_PB.17103.5	ARAF	ARAF	novel_not_in_catalog	YES	228.37	142.62	134.0
PB.17105.3	Protein_PB.17105.3	LOC113266000	LOC113266000	novel_not_in_catalog	YES	16.8	13.85	11.65
PB.17111.1	Protein_PB.17111.1	FTSJ1	FTSJ1	full-splice_match	YES	37.57	15.63	28.24
PB.17111.2	Protein_PB.17111.2	FTSJ1	FTSJ1	full-splice_match	YES	39.38	46.6	43.37
PB.17111.3	Protein_PB.17111.3	FTSJ1	FTSJ1	full-splice_match	YES	21.84	37.17	23.93
PB.17111.6	Protein_PB.17111.6	FTSJ1	FTSJ1	incomplete-splice_match	YES	12.8	20.21	17.65
PB.17113.1	Protein_PB.17113.1	EBP	EBP	full-splice_match	YES	188.28	141.89	79.49
PB.17113.2	Protein_PB.17113.2	EBP	EBP	novel_not_in_catalog	YES	63.19	23.53	24.23
PB.17113.3	Protein_PB.17113.3	EBP	EBP	novel_in_catalog	YES	206.22	166.89	168.8
PB.17113.4	Protein_PB.17113.4	EBP	EBP	novel_in_catalog	YES	35.22	24.67	14.1
PB.17113.7	Protein_PB.17113.7	EBP	EBP	incomplete-splice_match	YES	1257.79	1096.29	590.53
PB.17114.1	Protein_PB.17114.1	TBC1D25	TBC1D25	novel_in_catalog	YES	9.68	15.02	12.95
PB.17114.2	Protein_PB.17114.2	TBC1D25	TBC1D25	full-splice_match	YES	23.83	20.32	20.68
PB.17116.1	Protein_PB.17116.1	RBM3	RBM3	full-splice_match	YES	55.97	97.94	189.97
PB.17116.11		RBM3	RBM3	novel_not_in_catalog	NO	26.14	55.63	53.4
PB.17116.12	Protein_PB.17116.12	RBM3	RBM3	novel_not_in_catalog	YES	60.7	49.87	17.01
PB.17116.13	Protein_PB.17116.13	RBM3	RBM3	novel_in_catalog	YES	17.62	20.77	40.88
PB.17116.15	Protein_PB.17116.15	RBM3	RBM3	novel_in_catalog	YES	75.61	90.68	170.08
PB.17116.17	Protein_PB.17116.17	RBM3	RBM3	novel_in_catalog	YES	25.42	11.76	17.39
PB.17116.19	Protein_PB.17116.19	RBM3	RBM3	full-splice_match	YES	16.55	30.7	47.48
PB.17116.2	Protein_PB.17116.2	RBM3	RBM3	full-splice_match	YES	8.12	28.57	49.28
PB.17116.3	Protein_PB.17116.3	RBM3	RBM3	full-splice_match	YES	195.33	341.98	716.46
PB.17116.5	Protein_PB.17116.5	RBM3	RBM3	incomplete-splice_match	YES	29.01	46.53	90.04
PB.17117.1	Protein_PB.17117.1	WDR13	WDR13	full-splice_match	YES	105.73	58.37	44.11
PB.17117.11	Protein_PB.17117.11	WDR13	WDR13	novel_in_catalog	YES	23.01	29.96	12.8
PB.17117.13	Protein_PB.17117.13	WDR13	WDR13	incomplete-splice_match	YES	16.67	9.86	12.53
PB.17117.18	Protein_PB.17117.18	WDR13	WDR13	novel_in_catalog	YES	58.31	45.28	40.48
PB.17117.19	Protein_PB.17117.19	WDR13	WDR13	novel_in_catalog	YES	40.94	28.0	28.53
PB.17117.2	Protein_PB.17117.2	WDR13	WDR13	full-splice_match	YES	25.13	35.85	22.08
PB.17119.1	Protein_PB.17119.1	WAS	WAS	full-splice_match	YES	34.27	26.58	20.08
PB.17120.1	Protein_PB.17120.1	SUV39H1	SUV39H1	novel_not_in_catalog	YES	30.82	40.61	21.15
PB.17120.2	Protein_PB.17120.2	SUV39H1	SUV39H1	novel_in_catalog	YES	37.55	32.58	35.47
PB.17120.3	Protein_PB.17120.3	SUV39H1	SUV39H1	full-splice_match	YES	92.19	57.73	55.84
PB.17121.1	Protein_PB.17121.1	GLOD5	GLOD5	full-splice_match	YES	37.08	41.7	29.49
PB.17123.1	Protein_PB.17123.1	HDAC6	HDAC6	novel_in_catalog	YES	21.12	20.5	30.17
PB.17123.14	Protein_PB.17123.14	HDAC6	HDAC6	full-splice_match	YES	30.46	54.93	11.78
PB.17123.19	Protein_PB.17123.19	HDAC6	HDAC6	novel_in_catalog	YES	12.82	22.89	43.14
PB.17123.2	Protein_PB.17123.2	HDAC6	HDAC6	novel_in_catalog	YES	42.5	17.47	22.54
PB.17123.25	Protein_PB.17123.25	HDAC6	HDAC6	incomplete-splice_match	YES	15.51	4.47	9.71
PB.17125.4	Protein_PB.17125.4	PQBP1	PQBP1	full-splice_match	YES	45.76	32.5	40.09
PB.17127.2	Protein_PB.17127.2	CCDC120	CCDC120	full-splice_match	YES	20.06	14.75	22.95
PB.17128.1	Protein_PB.17128.1	MAGIX	MAGIX	full-splice_match	YES	57.98	40.74	55.41
PB.17129.1	Protein_PB.17129.1	PLP2	PLP2	full-splice_match	YES	15.31	16.48	21.41
PB.17130.2	Protein_PB.17130.2	CCDC22	CCDC22	full-splice_match	YES	55.93	49.19	44.2
PB.17130.3	Protein_PB.17130.3	CCDC22	CCDC22	incomplete-splice_match	YES	17.73	14.54	22.38
PB.17131.2	Protein_PB.17131.2	PPP1R3F	PPP1R3F	full-splice_match	YES	17.91	11.83	7.8
PB.17132.1	Protein_PB.17132.1	PAGE4	PAGE4	full-splice_match	YES	15.24	16.82	14.04
PB.17134.1	Protein_PB.17134.1	USP27X	USP27X	full-splice_match	YES	39.53	35.67	23.41
PB.17135.1	Protein_PB.17135.1	CLCN5	CLCN5	full-splice_match	YES	50.09	67.12	54.37
PB.17135.3	Protein_PB.17135.3	CLCN5	CLCN5	full-splice_match	YES	21.86	18.18	17.14
PB.17136.1	Protein_PB.17136.1	CCNB3	CCNB3	full-splice_match	YES	121.16	108.37	138.8
PB.1715.1	Protein_PB.1715.1	HIBADH	HIBADH	novel_not_in_catalog	YES	43.78	27.58	43.16
PB.1715.10	Protein_PB.1715.10	HIBADH	HIBADH	novel_not_in_catalog	YES	360.39	403.8	524.21
PB.1715.11	Protein_PB.1715.11	HIBADH	HIBADH	novel_not_in_catalog	YES	40.33	41.3	40.69
PB.1715.13	Protein_PB.1715.13	HIBADH	HIBADH	novel_not_in_catalog	YES	139.02	144.93	152.45
PB.1715.2	Protein_PB.1715.2	HIBADH	HIBADH	full-splice_match	YES	507.82	539.38	494.72
PB.1715.3	Protein_PB.1715.3	HIBADH	HIBADH	novel_not_in_catalog	YES	248.8	233.85	415.46
PB.1715.4	Protein_PB.1715.4	HIBADH	HIBADH	novel_not_in_catalog	YES	508.27	678.71	667.15
PB.1715.5	Protein_PB.1715.5	HIBADH	HIBADH	novel_not_in_catalog	YES	128.9	142.78	87.57
PB.1715.8	Protein_PB.1715.8	HIBADH	HIBADH	novel_in_catalog	YES	316.28	356.28	313.1
PB.1715.9	Protein_PB.1715.9	HIBADH	HIBADH	novel_not_in_catalog	YES	624.09	689.43	712.67
PB.17153.1	Protein_PB.17153.1	TAB3	TAB3	full-splice_match	YES	16.88	32.5	24.83
PB.17153.2	Protein_PB.17153.2	TAB3	TAB3	full-splice_match	YES	47.99	35.4	112.75
PB.17153.3	Protein_PB.17153.3	TAB3	TAB3	full-splice_match	YES	72.72	86.43	126.41
PB.17153.4	Protein_PB.17153.4	TAB3	TAB3	full-splice_match	YES	16.93	23.22	39.9
PB.17158.1	Protein_PB.17158.1	DMD	DMD	full-splice_match	YES	85.02	59.97	36.33
PB.17158.10	Protein_PB.17158.10	DMD	DMD	novel_in_catalog	YES	45.18	39.84	73.82
PB.17158.15	Protein_PB.17158.15	DMD	DMD	novel_in_catalog	YES	29.0	42.2	18.41
PB.17158.18		DMD	DMD	incomplete-splice_match	NO	35.24	38.42	56.23
PB.17158.2	Protein_PB.17158.2	DMD	DMD	full-splice_match	YES	20.11	31.1	47.21
PB.17158.4	Protein_PB.17158.4	DMD	DMD	full-splice_match	YES	70.72	58.45	37.23
PB.17158.5	Protein_PB.17158.5	DMD	DMD	full-splice_match	YES	9.97	24.76	32.59
PB.17158.6	Protein_PB.17158.6	DMD	DMD	full-splice_match	YES	333.41	314.95	365.05
PB.17158.7	Protein_PB.17158.7	DMD	DMD	incomplete-splice_match	YES	54.11	56.99	58.39
PB.17158.8	Protein_PB.17158.8	DMD	DMD	full-splice_match	YES	29.69	30.18	18.61
PB.17165.1	Protein_PB.17165.1	TMEM47	TMEM47	full-splice_match	YES	93.15	101.28	84.84
PB.17174.1		novelGene_CFAP47_AS	novelGene_CFAP47_AS	antisense	NO	15.14	12.84	14.29
PB.17183.1	Protein_PB.17183.1	DYNLT3	DYNLT3	full-splice_match	YES	49.5	113.59	46.33
PB.17183.2	Protein_PB.17183.2	DYNLT3	DYNLT3	novel_in_catalog	YES	71.88	63.16	100.02
PB.17183.3		DYNLT3	DYNLT3	novel_in_catalog	NO	15.62	13.02	14.78
PB.17183.4		DYNLT3	DYNLT3	novel_not_in_catalog	NO	83.81	109.42	83.84
PB.17187.2	Protein_PB.17187.2	RPGR	RPGR	novel_in_catalog	YES	13.42	17.51	14.3
PB.17187.3	Protein_PB.17187.3	RPGR	RPGR	novel_in_catalog	YES	16.67	18.65	13.73
PB.17187.4	Protein_PB.17187.4	RPGR	RPGR	full-splice_match	YES	36.93	32.57	40.21
PB.17194.1	Protein_PB.17194.1	BCOR	BCOR	incomplete-splice_match	YES	13.13	16.83	32.03
PB.17194.2	Protein_PB.17194.2	BCOR	BCOR	full-splice_match	YES	16.54	14.39	58.71
PB.17194.4	Protein_PB.17194.4	BCOR	BCOR	full-splice_match	YES	56.9	38.45	45.79
PB.17194.5	Protein_PB.17194.5	BCOR	BCOR	full-splice_match	YES	2.69	10.07	24.75
PB.17196.1	Protein_PB.17196.1	CUNHXorf38	CUNHXorf38	novel_not_in_catalog	YES	37.95	18.11	26.35
PB.17196.2	Protein_PB.17196.2	CUNHXorf38	CUNHXorf38	full-splice_match	YES	32.34	44.67	24.37
PB.17196.4	Protein_PB.17196.4	CUNHXorf38	CUNHXorf38	full-splice_match	YES	233.15	207.66	191.9
PB.17196.5	Protein_PB.17196.5	CUNHXorf38	CUNHXorf38	novel_not_in_catalog	YES	54.55	55.92	46.41
PB.17196.6	Protein_PB.17196.6	CUNHXorf38	CUNHXorf38	full-splice_match	YES	36.49	55.68	27.54
PB.17197.1	Protein_PB.17197.1	MED14	MED14	novel_not_in_catalog	YES	309.25	274.84	307.9
PB.17197.3	Protein_PB.17197.3	MED14	MED14	full-splice_match	YES	77.02	99.37	74.36
PB.17197.5	Protein_PB.17197.5	MED14	MED14	incomplete-splice_match	YES	39.43	30.25	47.99
PB.17197.6	Protein_PB.17197.6	MED14	MED14	incomplete-splice_match	YES	29.51	28.94	35.13
PB.17203.4	Protein_PB.17203.4	CASK	CASK	full-splice_match	YES	0.0	5.45	19.96
PB.17203.5	Protein_PB.17203.5	CASK	CASK	full-splice_match	YES	35.11	9.72	21.72
PB.17203.6	Protein_PB.17203.6	CASK	CASK	full-splice_match	YES	126.76	154.82	71.18
PB.17203.7	Protein_PB.17203.7	CASK	CASK	full-splice_match	YES	41.15	37.42	33.09
PB.1721.1	Protein_PB.1721.1	TRIL	TRIL	full-splice_match	YES	18.8	17.57	18.85
PB.17211.1	Protein_PB.17211.1	MAOB	MAOB	full-splice_match	YES	900.87	888.71	714.6
PB.17211.2	Protein_PB.17211.2	MAOB	MAOB	full-splice_match	YES	722.8	579.26	536.88
PB.17211.3	Protein_PB.17211.3	MAOB	MAOB	novel_not_in_catalog	YES	53.04	62.71	77.76
PB.17215.1	Protein_PB.17215.1	FUNDC1	FUNDC1	full-splice_match	YES	34.8	44.28	37.21
PB.17215.2	Protein_PB.17215.2	FUNDC1	FUNDC1	novel_in_catalog	YES	20.08	21.34	24.9
PB.17216.1	Protein_PB.17216.1	DIPK2B	DIPK2B	novel_in_catalog	YES	18.47	14.4	17.22
PB.17217.1		LOC113265910	LOC113265910	full-splice_match	NO	0.63	1.39	16.12
PB.17217.2		LOC113265910	LOC113265910	full-splice_match	NO	5.48	8.16	84.32
PB.17218.1		LOC113265909	LOC113265909	full-splice_match	NO	4.24	4.58	81.33
PB.17221.1	Protein_PB.17221.1	ZNF674	ZNF674	full-splice_match	YES	17.38	19.17	20.06
PB.17222.1	Protein_PB.17222.1	SLC9A7	SLC9A7	full-splice_match	YES	129.19	135.15	129.5
PB.17222.3	Protein_PB.17222.3	SLC9A7	SLC9A7	full-splice_match	YES	28.81	30.58	22.03
PB.17225.1		LOC113266002	LOC113266002	incomplete-splice_match	NO	62.52	88.92	165.39
PB.17225.2		LOC113266002	LOC113266002	novel_in_catalog	NO	3.23	15.59	22.59
PB.17225.3		LOC113266002	LOC113266002	novel_not_in_catalog	NO	112.99	108.89	65.18
PB.17225.4		LOC113266002	LOC113266002	full-splice_match	NO	25.48	24.82	31.79
PB.17226.1	Protein_PB.17226.1	NDUFB11	NDUFB11	full-splice_match	YES	432.1	483.93	351.42
PB.17227.1	Protein_PB.17227.1	ZNF41	ZNF41	full-splice_match	YES	27.08	29.89	42.42
PB.17227.3	Protein_PB.17227.3	ZNF41	ZNF41	full-splice_match	YES	47.0	47.81	63.35
PB.17230.1	Protein_PB.17230.1	CFP	CFP	full-splice_match	YES	67.85	57.82	30.99
PB.17230.2	Protein_PB.17230.2	CFP	CFP	incomplete-splice_match	YES	75.48	50.66	28.0
PB.17231.1	Protein_PB.17231.1	ELK1	ELK1	full-splice_match	YES	46.93	40.09	21.53
PB.17231.2	Protein_PB.17231.2	ELK1	ELK1	full-splice_match	YES	140.13	140.93	106.12
PB.17232.1	Protein_PB.17232.1	UXT	UXT	full-splice_match	YES	150.76	178.27	193.41
PB.17242.2	Protein_PB.17242.2	TIMM17B	TIMM17B	full-splice_match	YES	101.42	85.65	88.89
PB.17242.4	Protein_PB.17242.4	TIMM17B	TIMM17B	novel_in_catalog	YES	13.73	7.74	15.44
PB.17243.3	Protein_PB.17243.3	SLC35A2	SLC35A2	incomplete-splice_match	YES	50.18	51.0	61.96
PB.17245.1	Protein_PB.17245.1	OTUD5	OTUD5	full-splice_match	YES	73.92	53.9	58.55
PB.17245.3	Protein_PB.17245.3	OTUD5	OTUD5	full-splice_match	YES	37.03	54.27	36.43
PB.17245.4	Protein_PB.17245.4	OTUD5	OTUD5	full-splice_match	YES	207.49	205.33	161.59
PB.17247.1	Protein_PB.17247.1	GRIPAP1	GRIPAP1	full-splice_match	YES	148.11	133.12	159.43
PB.17247.2	Protein_PB.17247.2	GRIPAP1	GRIPAP1	novel_in_catalog	YES	13.05	8.15	17.29
PB.17248.1	Protein_PB.17248.1	TFE3	TFE3	full-splice_match	YES	24.33	39.14	22.05
PB.17248.2	Protein_PB.17248.2	TFE3	TFE3	full-splice_match	YES	75.53	49.94	44.92
PB.17248.3	Protein_PB.17248.3	TFE3	TFE3	novel_in_catalog	YES	30.89	37.39	51.45
PB.17249.1	Protein_PB.17249.1	PRAF2	PRAF2	full-splice_match	YES	12.88	15.27	13.39
PB.17250.10	Protein_PB.17250.10	WDR45	WDR45	novel_in_catalog	YES	31.29	21.21	25.1
PB.17250.3	Protein_PB.17250.3	WDR45	WDR45	full-splice_match	YES	21.1	21.63	8.46
PB.17250.4	Protein_PB.17250.4	WDR45	WDR45	full-splice_match	YES	7.48	2.83	15.39
PB.17250.5	Protein_PB.17250.5	WDR45	WDR45	full-splice_match	YES	117.64	115.04	39.96
PB.17250.7	Protein_PB.17250.7	WDR45	WDR45	novel_in_catalog	YES	15.28	25.68	9.83
PB.17251.1	Protein_PB.17251.1	GPKOW	GPKOW	full-splice_match	YES	127.11	128.78	163.17
PB.17255.1	Protein_PB.17255.1	FOXP3	FOXP3	full-splice_match	YES	21.34	18.29	21.51
PB.17260.1	Protein_PB.17260.1	SHROOM4	SHROOM4	full-splice_match	YES	20.13	20.41	20.49
PB.17273.2	Protein_PB.17273.2	G2E3	G2E3	full-splice_match	YES	119.07	114.03	149.62
PB.17274.13	Protein_PB.17274.13	SCFD1	SCFD1	novel_not_in_catalog	YES	13.29	13.98	20.66
PB.17274.14	Protein_PB.17274.14	SCFD1	SCFD1	novel_not_in_catalog	YES	34.04	17.77	18.84
PB.17274.15	Protein_PB.17274.15	SCFD1	SCFD1	novel_not_in_catalog	YES	37.65	58.1	51.59
PB.17274.17	Protein_PB.17274.17	SCFD1	SCFD1	novel_not_in_catalog	YES	29.45	20.59	25.85
PB.17274.18	Protein_PB.17274.18	SCFD1	SCFD1	novel_in_catalog	YES	36.2	34.26	80.29
PB.17274.19	Protein_PB.17274.19	SCFD1	SCFD1	novel_in_catalog	YES	27.42	42.37	70.81
PB.17274.20		SCFD1	SCFD1	incomplete-splice_match	NO	8.63	6.83	16.32
PB.17274.6	Protein_PB.17274.6	SCFD1	SCFD1	novel_not_in_catalog	YES	61.48	54.01	115.76
PB.17274.9	Protein_PB.17274.9	SCFD1	SCFD1	incomplete-splice_match	YES	57.72	98.38	161.13
PB.17276.1		LOC113266092	LOC113266092	full-splice_match	NO	17.72	20.0	32.48
PB.1728.1	Protein_PB.1728.1	SCRN1	SCRN1	full-splice_match	YES	18.58	23.76	16.59
PB.17280.2	Protein_PB.17280.2	AP4S1	AP4S1	full-splice_match	YES	18.98	30.53	11.05
PB.17280.3	Protein_PB.17280.3	AP4S1	AP4S1	full-splice_match	YES	3.74	8.09	16.01
PB.17280.4	Protein_PB.17280.4	AP4S1	AP4S1	full-splice_match	YES	5.02	9.06	17.59
PB.17283.1		LOC113266104	LOC113266104	novel_not_in_catalog	NO	58.01	45.26	32.88
PB.17285.7	Protein_PB.17285.7	NUBPL	NUBPL	full-splice_match	YES	22.31	14.36	17.78
PB.17285.8	Protein_PB.17285.8	NUBPL	NUBPL	full-splice_match	YES	62.91	70.66	57.38
PB.17286.1	Protein_PB.17286.1	ARHGAP5	ARHGAP5	full-splice_match	YES	529.09	604.54	569.23
PB.17286.3	Protein_PB.17286.3	ARHGAP5	ARHGAP5	full-splice_match	YES	169.64	159.88	181.99
PB.17286.4	Protein_PB.17286.4	ARHGAP5	ARHGAP5	novel_not_in_catalog	YES	171.29	209.31	194.48
PB.17289.1	Protein_PB.17289.1	AKAP6	AKAP6	full-splice_match	YES	22.71	9.28	11.05
PB.1729.1	Protein_PB.1729.1	FKBP14	FKBP14	novel_not_in_catalog	YES	9.4	11.06	19.47
PB.1729.2	Protein_PB.1729.2	FKBP14	FKBP14	full-splice_match	YES	32.97	27.41	56.01
PB.17293.1	Protein_PB.17293.1	SRP54	SRP54	novel_not_in_catalog	YES	52.51	32.34	39.29
PB.17293.10	Protein_PB.17293.10	SRP54	SRP54	novel_in_catalog	YES	16.75	9.91	22.56
PB.17293.14	Protein_PB.17293.14	SRP54	SRP54	full-splice_match	YES	96.59	161.23	159.76
PB.17293.5	Protein_PB.17293.5	SRP54	SRP54	novel_not_in_catalog	YES	56.13	35.66	45.47
PB.17293.6	Protein_PB.17293.6	SRP54	SRP54	novel_in_catalog	YES	65.34	76.14	56.65
PB.17293.7	Protein_PB.17293.7	SRP54	SRP54	novel_in_catalog	YES	13.24	17.3	27.64
PB.17293.8	Protein_PB.17293.8	SRP54	SRP54	incomplete-splice_match	YES	104.57	114.87	114.64
PB.17294.4	Protein_PB.17294.4	FAM177A1	FAM177A1	full-splice_match	YES	29.51	20.78	26.76
PB.17295.1	Protein_PB.17295.1	KIAA0391	KIAA0391	full-splice_match	YES	115.97	123.32	97.17
PB.17296.1	Protein_PB.17296.1	PSMA6	PSMA6	full-splice_match	YES	210.46	232.13	258.26
PB.17296.2	Protein_PB.17296.2	PSMA6	PSMA6	incomplete-splice_match	YES	38.58	44.7	58.17
PB.17299.3	Protein_PB.17299.3	BRMS1L	BRMS1L	novel_in_catalog	YES	9.8	19.35	18.45
PB.17299.6	Protein_PB.17299.6	BRMS1L	BRMS1L	novel_not_in_catalog	YES	37.85	27.49	22.39
PB.1730.1		novelGene_LOC113262295_AS	novelGene_LOC113262295_AS	antisense	NO	22.09	16.33	20.66
PB.17304.1	Protein_PB.17304.1	MIPOL1	MIPOL1	novel_not_in_catalog	YES	13.78	12.91	16.41
PB.17304.4	Protein_PB.17304.4	MIPOL1	MIPOL1	full-splice_match	YES	56.24	83.05	138.09
PB.17306.1	Protein_PB.17306.1	TTC6	TTC6	full-splice_match	YES	116.26	104.14	51.3
PB.1731.4	Protein_PB.1731.4	NOD1	NOD1	novel_not_in_catalog	YES	48.98	27.76	20.48
PB.1731.5	Protein_PB.1731.5	NOD1	NOD1	full-splice_match	YES	22.42	8.4	9.7
