




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
extracellularly ATP-gated cation channel activity (GO:0004931)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-acylglycerol O-acyltransferase activity (GO:0003846)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor activity (GO:0004930)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity (GO:0003845)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dopamine receptor binding (GO:0050780)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
cGMP binding (GO:0030553)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cargo receptor activity (GO:0038024)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
signaling receptor activity (GO:0038023)	225	0	1.95	-	 < 0.01	2.65E-01	1.00E00
leptin receptor activity (GO:0038021)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axon guidance receptor activity (GO:0008046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-36 demethylase activity (GO:0051864)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
propanoyl-CoA C-acyltransferase activity (GO:0033814)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Roundabout binding (GO:0048495)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycolipid binding (GO:0051861)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
prolactin receptor activity (GO:0004925)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor activity (GO:0004924)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
leukemia inhibitory factor receptor activity (GO:0004923)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-11 receptor activity (GO:0004921)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-galactoside (CMP) alpha-2,3-sialyltransferase activity (GO:0003836)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-10 receptor activity (GO:0004920)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-galactoside alpha-2,6-sialyltransferase activity (GO:0003835)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-carotene 15,15'-dioxygenase activity (GO:0003834)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sumo-dependent protein binding (GO:0140037)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein binding (GO:0140036)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquitination-like modification-dependent protein binding (GO:0140035)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity (GO:0003831)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
methylation-dependent protein binding (GO:0140034)	45	0	.39	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor activator activity (GO:0030549)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylation-dependent protein binding (GO:0140033)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor regulator activity (GO:0030548)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
signaling receptor inhibitor activity (GO:0030547)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphorylation-dependent protein binding (GO:0140031)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
signaling receptor activator activity (GO:0030546)	57	0	.49	-	 < 0.01	1.00E00	1.00E00
modification-dependent protein binding (GO:0140030)	100	0	.87	-	 < 0.01	1.00E00	1.00E00
signaling receptor regulator activity (GO:0030545)	62	0	.54	-	 < 0.01	1.00E00	1.00E00
Hsp70 protein binding (GO:0030544)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
peptide receptor activity (GO:0001653)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
medium-chain-acyl-CoA dehydrogenase activity (GO:0070991)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
deaminated glutathione amidase activity (GO:0110050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNP binding (GO:0070990)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle binding (GO:0008035)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-tubulin binding (GO:0048487)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
fructose-1-phosphate aldolase activity (GO:0061609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear import signal receptor activity (GO:0061608)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor activity (GO:0004915)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-5-phosphate binding (GO:0010314)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor activity (GO:0004914)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-4 receptor activity (GO:0004913)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-3 receptor activity (GO:0004912)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type II, blocking receptor activity (GO:0004910)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity involved in regulation of cardiac muscle cell membrane potential (GO:0086039)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerophosphoinositol inositolphosphodiesterase activity (GO:0047394)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antigen binding (GO:0003823)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
alkylglycerophosphoethanolamine phosphodiesterase activity (GO:0047391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
enterobactin binding (GO:1903981)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type I, activating receptor activity (GO:0004909)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor activity (GO:0004908)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
type I interferon receptor activity (GO:0004905)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interferon receptor activity (GO:0004904)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerophosphocholine phosphodiesterase activity (GO:0047389)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor activity (GO:0004903)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor binding (GO:0050750)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
structural constituent of chromatin (GO:0030527)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled chemoattractant receptor activity (GO:0001637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity (GO:0052929)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dihydrolipoamide S-acyltransferase activity (GO:0030523)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CTP:3'-cytidine-tRNA cytidylyltransferase activity (GO:0052928)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TIR domain binding (GO:0070976)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcitonin gene-related peptide receptor activity (GO:0001635)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CTP:tRNA cytidylyltransferase activity (GO:0052927)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FHA domain binding (GO:0070975)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule binding (GO:0008017)	119	0	1.03	-	 < 0.01	6.27E-01	1.00E00
beta-catenin binding (GO:0008013)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
methylumbelliferyl-acetate deacetylase activity (GO:0047374)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acylglycerol lipase activity (GO:0047372)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
snoRNP binding (GO:0030519)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snoRNA binding (GO:0030515)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
glutathione oxidoreductase activity (GO:0097573)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase (GO:0052917)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled ADP receptor activity (GO:0001621)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chemokine activity (GO:0008009)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate-hydroxymethylglutarate CoA-transferase activity (GO:0047369)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RS domain binding (GO:0050733)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
benzaldehyde dehydrogenase (NAD+) activity (GO:0018479)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel activity involved in cardiac muscle cell action potential (GO:0086006)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
spectrin binding (GO:0030507)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
ankyrin binding (GO:0030506)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
virus receptor activity (GO:0001618)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphate transmembrane transporter activity (GO:0030504)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity (GO:0052909)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-[acyl-carrier-protein] hydrolase activity (GO:0016297)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
23S rRNA (adenine(1618)-N(6))-methyltransferase activity (GO:0052907)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purinergic nucleotide receptor activity (GO:0001614)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
palmitoyl-[acyl-carrier-protein] hydrolase activity (GO:0016296)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(37)-N(1))-methyltransferase activity (GO:0052906)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myristoyl-[acyl-carrier-protein] hydrolase activity (GO:0016295)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(9)-N(1))-methyltransferase activity (GO:0052905)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052904)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052903)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity (GO:0052902)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spermine:oxygen oxidoreductase (spermidine-forming) activity (GO:0052901)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA hydrolase activity (GO:0016290)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
1-alkenyl-2-acylglycerol choline phosphotransferase activity (GO:0047359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex binding (GO:0010997)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cadherin binding involved in cell-cell adhesion (GO:0098641)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
G protein-coupled adenosine receptor activity (GO:0001609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CoA hydrolase activity (GO:0016289)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor activity (GO:0001605)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerone-phosphate O-acyltransferase activity (GO:0016287)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione dehydrogenase (ascorbate) activity (GO:0045174)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine transmembrane transporter activity (GO:0015199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
L-proline transmembrane transporter activity (GO:0015193)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
L-methionine transmembrane transporter activity (GO:0015191)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-leucine transmembrane transporter activity (GO:0015190)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity (GO:0051800)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-ribitol-5-phosphate cytidylyltransferase activity (GO:0047349)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity (GO:0102420)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase [NAD(P)+] activity (GO:0018455)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fucose-1-phosphate guanylyltransferase activity (GO:0047341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion mediator activity (GO:0098632)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
cell adhesion mediator activity (GO:0098631)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
protein-lysine N-methyltransferase activity (GO:0016279)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
lysine N-methyltransferase activity (GO:0016278)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
[myelin basic protein]-arginine N-methyltransferase activity (GO:0016277)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-arginine N-methyltransferase activity (GO:0016274)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arginine N-methyltransferase activity (GO:0016273)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
L-isoleucine transmembrane transporter activity (GO:0015188)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine transmembrane transporter activity (GO:0015187)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
L-cystine transmembrane transporter activity (GO:0015184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
L-asparagine transmembrane transporter activity (GO:0015182)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
L-alanine transmembrane transporter activity (GO:0015180)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
toxin transmembrane transporter activity (GO:0019534)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity (GO:0008693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxalate transmembrane transporter activity (GO:0019531)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin II binding (GO:0045159)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/dimethyl-lysine-9 demethylase activity (GO:0140684)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-9 demethylase activity (GO:0140683)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-4 FAD-dependent demethylase activity (GO:0140682)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/dimethyl-lysine-36 demethylase activity (GO:0140681)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-36 demethylase activity (GO:0140680)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity (GO:0016263)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase activity (GO:0016262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neutral amino acid transmembrane transporter activity (GO:0015175)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinone-9 3-O-methyltransferase activity (GO:0008689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	33	0	.29	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 5-kinase activity (GO:0047326)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity (GO:0008682)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 1-kinase activity (GO:0047325)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-octaprenyl-6-methoxyphenol hydroxylase activity (GO:0008681)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molecular function inhibitor activity (GO:0140678)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
molecular function activator activity (GO:0140677)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 5'-3' exodeoxyribonuclease activity (GO:0045145)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
triplex DNA binding (GO:0045142)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glucuronoside transmembrane transporter activity (GO:0015164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor binding (GO:0048408)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor binding (GO:0048407)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nerve growth factor binding (GO:0048406)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxidase inhibitor activity (GO:0036479)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamine-phenylpyruvate transaminase activity (GO:0047316)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2,4-dienoyl-CoA reductase (NADPH) activity (GO:0008670)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C-terminal leucine carboxyl O-methyltransferase activity (GO:0018423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
annealing activity (GO:0140666)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ATP-gated ion channel activity (GO:0035381)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
channel inhibitor activity (GO:0016248)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
ATP-dependent protein folding chaperone (GO:0140662)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
channel regulator activity (GO:0016247)	43	0	.37	-	 < 0.01	1.00E00	1.00E00
uridine-diphosphatase activity (GO:0045134)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
serine binding (GO:0070905)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pre-mRNA branch point binding (GO:0045131)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CoA pyrophosphatase activity (GO:0010945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
(R)-3-amino-2-methylpropionate-pyruvate transaminase activity (GO:0047305)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP-dependent chromatin remodeler activity (GO:0140658)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate binding (GO:0035374)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
deaminated base DNA N-glycosylase activity (GO:0097506)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan binding (GO:0035373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine kinase activity (GO:0045127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bioactive lipid receptor activity (GO:0045125)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hexose transmembrane transporter activity (GO:0015149)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
P-type sodium:potassium-exchanging transporter activity (GO:0005391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingomyelin phosphodiesterase activator activity (GO:0016230)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
monosaccharide transmembrane transporter activity (GO:0015145)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transporter activity (GO:0015144)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein phosphatase activity (GO:0033192)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
urate transmembrane transporter activity (GO:0015143)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity (GO:0008659)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transporter activity (GO:0015142)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transporter activity (GO:0015140)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine-(S)-S-oxide reductase activity (GO:0036456)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-2'-O-)-methyltransferase activity (GO:0008650)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
selenocysteine insertion sequence binding (GO:0035368)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity (GO:0016229)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity (GO:0005388)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex binding (GO:0062078)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
acyl-CoA delta5-desaturase activity (GO:0062076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sphingomyelin synthase activity (GO:0033188)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-ketoglutarate transmembrane transporter activity (GO:0015139)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
threonine-type endopeptidase activity (GO:0004298)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
H3K9me3 modified histone binding (GO:0062072)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
leptomycin B binding (GO:1901707)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sialic acid transmembrane transporter activity (GO:0015136)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H4-R3 specific) (GO:0044020)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA methyltransferase activity (GO:0008649)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
prostaglandin transmembrane transporter activity (GO:0015132)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
salt transmembrane transporter activity (GO:1901702)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SAM domain binding (GO:0032093)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
citrate synthase activity (GO:0036440)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GARP complex binding (GO:0062069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
co-receptor binding (GO:0039706)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transporter activity (GO:0005375)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
acyl-CoA desaturase activity (GO:0016215)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex binding (GO:0062065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transporter activity (GO:0015129)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
linoleoyl-CoA desaturase activity (GO:0016213)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP complex binding (GO:0062064)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
kynurenine-oxoglutarate transaminase activity (GO:0016212)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bilirubin transmembrane transporter activity (GO:0015127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TAP complex binding (GO:0062061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bile acid transmembrane transporter activity (GO:0015125)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
H2B histone acetyltransferase activity (GO:0044013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
