




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
regulation of cell growth (GO:0001558)	167	2	1.45	+	1.38	6.57E-01	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	835	10	7.24	+	1.38	3.13E-01	1.00E00
cellular localization (GO:0051641)	1004	12	8.70	+	1.38	2.62E-01	1.00E00
positive regulation of metabolic process (GO:0009893)	1508	18	13.07	+	1.38	1.50E-01	1.00E00
positive regulation of cellular biosynthetic process (GO:0031328)	842	10	7.30	+	1.37	3.14E-01	1.00E00
regulation of metabolic process (GO:0019222)	2545	30	22.05	+	1.36	3.63E-02	1.00E00
cognition (GO:0050890)	85	1	.74	+	1.36	5.26E-01	1.00E00
protein autophosphorylation (GO:0046777)	85	1	.74	+	1.36	5.26E-01	1.00E00
positive regulation of biosynthetic process (GO:0009891)	850	10	7.37	+	1.36	3.17E-01	1.00E00
immune system process (GO:0002376)	596	7	5.16	+	1.36	3.55E-01	1.00E00
regulation of transcription, DNA-templated (GO:0006355)	1279	15	11.08	+	1.35	1.80E-01	1.00E00
regulation of nucleic acid-templated transcription (GO:1903506)	1279	15	11.08	+	1.35	1.80E-01	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	1281	15	11.10	+	1.35	2.35E-01	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	1282	15	11.11	+	1.35	2.35E-01	1.00E00
response to external stimulus (GO:0009605)	687	8	5.95	+	1.34	3.80E-01	1.00E00
endocytosis (GO:0006897)	172	2	1.49	+	1.34	6.62E-01	1.00E00
adaptive immune response (GO:0002250)	86	1	.75	+	1.34	5.30E-01	1.00E00
protein folding (GO:0006457)	86	1	.75	+	1.34	5.30E-01	1.00E00
ossification (GO:0001503)	86	1	.75	+	1.34	5.30E-01	1.00E00
small molecule catabolic process (GO:0044282)	172	2	1.49	+	1.34	6.62E-01	1.00E00
intracellular signal transduction (GO:0035556)	602	7	5.22	+	1.34	3.59E-01	1.00E00
protein modification by small protein conjugation or removal (GO:0070647)	431	5	3.73	+	1.34	4.22E-01	1.00E00
regulation of gene expression (GO:0010468)	1811	21	15.69	+	1.34	1.32E-01	1.00E00
response to cytokine (GO:0034097)	259	3	2.24	+	1.34	4.92E-01	1.00E00
in utero embryonic development (GO:0001701)	173	2	1.50	+	1.33	6.63E-01	1.00E00
cellular response to lipid (GO:0071396)	173	2	1.50	+	1.33	6.63E-01	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	346	4	3.00	+	1.33	5.43E-01	1.00E00
regulation of cellular metabolic process (GO:0031323)	2348	27	20.35	+	1.33	6.77E-02	1.00E00
protein-DNA complex subunit organization (GO:0071824)	87	1	.75	+	1.33	5.34E-01	1.00E00
activation of immune response (GO:0002253)	87	1	.75	+	1.33	5.34E-01	1.00E00
protein acetylation (GO:0006473)	87	1	.75	+	1.33	5.34E-01	1.00E00
homeostasis of number of cells (GO:0048872)	87	1	.75	+	1.33	5.34E-01	1.00E00
regulation of macroautophagy (GO:0016241)	87	1	.75	+	1.33	5.34E-01	1.00E00
sex differentiation (GO:0007548)	87	1	.75	+	1.33	5.34E-01	1.00E00
defense response (GO:0006952)	350	4	3.03	+	1.32	5.45E-01	1.00E00
nucleotide metabolic process (GO:0009117)	175	2	1.52	+	1.32	6.65E-01	1.00E00
protein modification by small protein conjugation (GO:0032446)	351	4	3.04	+	1.32	5.46E-01	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	439	5	3.80	+	1.31	4.30E-01	1.00E00
positive regulation of cell cycle process (GO:0090068)	88	1	.76	+	1.31	5.39E-01	1.00E00
cytosolic transport (GO:0016482)	88	1	.76	+	1.31	5.39E-01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	264	3	2.29	+	1.31	4.99E-01	1.00E00
positive regulation of catabolic process (GO:0009896)	265	3	2.30	+	1.31	5.01E-01	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	177	2	1.53	+	1.30	6.67E-01	1.00E00
external encapsulating structure organization (GO:0045229)	89	1	.77	+	1.30	5.43E-01	1.00E00
RNA transport (GO:0050658)	89	1	.77	+	1.30	5.43E-01	1.00E00
nucleic acid transport (GO:0050657)	89	1	.77	+	1.30	5.43E-01	1.00E00
extracellular structure organization (GO:0043062)	89	1	.77	+	1.30	5.43E-01	1.00E00
extracellular matrix organization (GO:0030198)	89	1	.77	+	1.30	5.43E-01	1.00E00
cellular response to stress (GO:0033554)	714	8	6.19	+	1.29	3.94E-01	1.00E00
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1528	17	13.24	+	1.28	2.66E-01	1.00E00
mitochondrion organization (GO:0007005)	180	2	1.56	+	1.28	6.70E-01	1.00E00
establishment of RNA localization (GO:0051236)	90	1	.78	+	1.28	5.47E-01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	90	1	.78	+	1.28	5.47E-01	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	1539	17	13.34	+	1.27	2.67E-01	1.00E00
regulation of cell cycle phase transition (GO:1901987)	182	2	1.58	+	1.27	6.72E-01	1.00E00
DNA recombination (GO:0006310)	91	1	.79	+	1.27	5.50E-01	1.00E00
protein modification by small protein removal (GO:0070646)	91	1	.79	+	1.27	5.50E-01	1.00E00
cellular response to starvation (GO:0009267)	91	1	.79	+	1.27	5.50E-01	1.00E00
animal organ development (GO:0048513)	1004	11	8.70	+	1.26	3.58E-01	1.00E00
positive regulation of multicellular organismal process (GO:0051240)	457	5	3.96	+	1.26	5.95E-01	1.00E00
response to other organism (GO:0051707)	367	4	3.18	+	1.26	5.59E-01	1.00E00
mononuclear cell differentiation (GO:1903131)	92	1	.80	+	1.25	5.54E-01	1.00E00
regulation of T cell activation (GO:0050863)	92	1	.80	+	1.25	5.54E-01	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	368	4	3.19	+	1.25	5.60E-01	1.00E00
MAPK cascade (GO:0000165)	92	1	.80	+	1.25	5.54E-01	1.00E00
regulation of autophagy (GO:0010506)	184	2	1.59	+	1.25	6.74E-01	1.00E00
striated muscle tissue development (GO:0014706)	92	1	.80	+	1.25	5.54E-01	1.00E00
organic substance catabolic process (GO:1901575)	739	8	6.40	+	1.25	5.23E-01	1.00E00
aromatic compound biosynthetic process (GO:0019438)	371	4	3.21	+	1.24	5.62E-01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	93	1	.81	+	1.24	5.58E-01	1.00E00
double-strand break repair (GO:0006302)	93	1	.81	+	1.24	5.58E-01	1.00E00
muscle organ development (GO:0007517)	93	1	.81	+	1.24	5.58E-01	1.00E00
cell communication (GO:0007154)	1497	16	12.97	+	1.23	3.39E-01	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	564	6	4.89	+	1.23	6.30E-01	1.00E00
axonogenesis (GO:0007409)	94	1	.81	+	1.23	5.62E-01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	94	1	.81	+	1.23	5.62E-01	1.00E00
innate immune response (GO:0045087)	188	2	1.63	+	1.23	6.79E-01	1.00E00
response to nitrogen compound (GO:1901698)	378	4	3.28	+	1.22	5.69E-01	1.00E00
heterocycle biosynthetic process (GO:0018130)	378	4	3.28	+	1.22	5.69E-01	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	1609	17	13.94	+	1.22	3.50E-01	1.00E00
regulation of mRNA processing (GO:0050684)	95	1	.82	+	1.21	5.66E-01	1.00E00
response to nutrient levels (GO:0031667)	191	2	1.66	+	1.21	6.82E-01	1.00E00
regulation of biosynthetic process (GO:0009889)	1624	17	14.07	+	1.21	3.54E-01	1.00E00
chromatin organization (GO:0006325)	287	3	2.49	+	1.21	7.38E-01	1.00E00
positive regulation of gene expression (GO:0010628)	384	4	3.33	+	1.20	5.74E-01	1.00E00
signaling (GO:0023052)	1447	15	12.54	+	1.20	4.21E-01	1.00E00
neuron differentiation (GO:0030182)	290	3	2.51	+	1.19	7.39E-01	1.00E00
secretion by cell (GO:0032940)	97	1	.84	+	1.19	5.73E-01	1.00E00
protein localization to cell periphery (GO:1990778)	97	1	.84	+	1.19	5.73E-01	1.00E00
transcription, DNA-templated (GO:0006351)	194	2	1.68	+	1.19	6.85E-01	1.00E00
nucleotide biosynthetic process (GO:0009165)	97	1	.84	+	1.19	5.73E-01	1.00E00
nucleic acid-templated transcription (GO:0097659)	194	2	1.68	+	1.19	6.85E-01	1.00E00
regulation of immune effector process (GO:0002697)	97	1	.84	+	1.19	5.73E-01	1.00E00
transport (GO:0006810)	1362	14	11.80	+	1.19	5.08E-01	1.00E00
cell activation (GO:0001775)	195	2	1.69	+	1.18	6.87E-01	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	1368	14	11.85	+	1.18	5.09E-01	1.00E00
actin filament organization (GO:0007015)	98	1	.85	+	1.18	5.77E-01	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	98	1	.85	+	1.18	5.77E-01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	98	1	.85	+	1.18	5.77E-01	1.00E00
signal transduction (GO:0007165)	1374	14	11.91	+	1.18	5.10E-01	1.00E00
RNA localization (GO:0006403)	99	1	.86	+	1.17	5.81E-01	1.00E00
RNA biosynthetic process (GO:0032774)	199	2	1.72	+	1.16	6.91E-01	1.00E00
response to stress (GO:0006950)	1195	12	10.35	+	1.16	6.02E-01	1.00E00
regulation of cell cycle process (GO:0010564)	299	3	2.59	+	1.16	7.44E-01	1.00E00
positive regulation of protein modification process (GO:0031401)	399	4	3.46	+	1.16	7.77E-01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	100	1	.87	+	1.15	5.85E-01	1.00E00
positive regulation of intracellular transport (GO:0032388)	100	1	.87	+	1.15	5.85E-01	1.00E00
amide biosynthetic process (GO:0043604)	200	2	1.73	+	1.15	6.92E-01	1.00E00
organic acid biosynthetic process (GO:0016053)	100	1	.87	+	1.15	5.85E-01	1.00E00
muscle tissue development (GO:0060537)	100	1	.87	+	1.15	5.85E-01	1.00E00
organelle organization (GO:0006996)	1407	14	12.19	+	1.15	5.18E-01	1.00E00
neuron projection development (GO:0031175)	201	2	1.74	+	1.15	6.94E-01	1.00E00
regulation of organelle assembly (GO:1902115)	101	1	.88	+	1.14	5.88E-01	1.00E00
response to extracellular stimulus (GO:0009991)	203	2	1.76	+	1.14	6.96E-01	1.00E00
cellular biosynthetic process (GO:0044249)	1016	10	8.80	+	1.14	7.11E-01	1.00E00
regulation of biological process (GO:0050789)	3865	38	33.49	+	1.13	2.60E-01	1.00E00
establishment of localization (GO:0051234)	1426	14	12.36	+	1.13	6.25E-01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	102	1	.88	+	1.13	5.92E-01	1.00E00
response to lipopolysaccharide (GO:0032496)	102	1	.88	+	1.13	5.92E-01	1.00E00
regulation of cellular process (GO:0050794)	3703	36	32.09	+	1.12	3.30E-01	1.00E00
anatomical structure homeostasis (GO:0060249)	103	1	.89	+	1.12	5.95E-01	1.00E00
positive regulation of protein metabolic process (GO:0051247)	618	6	5.35	+	1.12	6.53E-01	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	103	1	.89	+	1.12	5.95E-01	1.00E00
tube development (GO:0035295)	309	3	2.68	+	1.12	7.50E-01	1.00E00
peptide metabolic process (GO:0006518)	207	2	1.79	+	1.12	7.01E-01	1.00E00
regulation of translation (GO:0006417)	207	2	1.79	+	1.12	7.01E-01	1.00E00
regulation of cellular component organization (GO:0051128)	940	9	8.15	+	1.10	7.03E-01	1.00E00
tissue development (GO:0009888)	523	5	4.53	+	1.10	8.03E-01	1.00E00
organic substance biosynthetic process (GO:1901576)	1047	10	9.07	+	1.10	7.15E-01	1.00E00
protein targeting (GO:0006605)	105	1	.91	+	1.10	6.02E-01	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	105	1	.91	+	1.10	6.02E-01	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	105	1	.91	+	1.10	6.02E-01	1.00E00
protein acylation (GO:0043543)	105	1	.91	+	1.10	6.02E-01	1.00E00
response to organic substance (GO:0010033)	946	9	8.20	+	1.10	7.05E-01	1.00E00
cellular amide metabolic process (GO:0043603)	316	3	2.74	+	1.10	7.54E-01	1.00E00
mitotic cell cycle process (GO:1903047)	211	2	1.83	+	1.09	7.05E-01	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	422	4	3.66	+	1.09	7.84E-01	1.00E00
system development (GO:0048731)	1375	13	11.91	+	1.09	7.42E-01	1.00E00
response to molecule of bacterial origin (GO:0002237)	106	1	.92	+	1.09	6.06E-01	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	212	2	1.84	+	1.09	7.07E-01	1.00E00
axon development (GO:0061564)	106	1	.92	+	1.09	6.06E-01	1.00E00
regulation of membrane potential (GO:0042391)	106	1	.92	+	1.09	6.06E-01	1.00E00
homeostatic process (GO:0042592)	532	5	4.61	+	1.08	8.06E-01	1.00E00
biosynthetic process (GO:0009058)	1071	10	9.28	+	1.08	7.20E-01	1.00E00
cellular component organization (GO:0016043)	2035	19	17.63	+	1.08	6.65E-01	1.00E00
biological regulation (GO:0065007)	4085	38	35.40	+	1.07	5.65E-01	1.00E00
multicellular organism development (GO:0007275)	1509	14	13.08	+	1.07	7.51E-01	1.00E00
cellular component organization or biogenesis (GO:0071840)	2159	20	18.71	+	1.07	7.74E-01	1.00E00
regulation of intracellular protein transport (GO:0033157)	108	1	.94	+	1.07	6.13E-01	1.00E00
DNA replication (GO:0006260)	108	1	.94	+	1.07	6.13E-01	1.00E00
response to steroid hormone (GO:0048545)	108	1	.94	+	1.07	6.13E-01	1.00E00
cellular response to nutrient levels (GO:0031669)	108	1	.94	+	1.07	6.13E-01	1.00E00
DNA metabolic process (GO:0006259)	325	3	2.82	+	1.07	7.59E-01	1.00E00
protein ubiquitination (GO:0016567)	326	3	2.82	+	1.06	7.60E-01	1.00E00
protein phosphorylation (GO:0006468)	328	3	2.84	+	1.06	7.61E-01	1.00E00
anatomical structure development (GO:0048856)	1649	15	14.29	+	1.05	8.77E-01	1.00E00
negative regulation of cell adhesion (GO:0007162)	110	1	.95	+	1.05	6.19E-01	1.00E00
cellular response to cytokine stimulus (GO:0071345)	220	2	1.91	+	1.05	7.16E-01	1.00E00
regulation of neuron death (GO:1901214)	110	1	.95	+	1.05	6.19E-01	1.00E00
histone modification (GO:0016570)	220	2	1.91	+	1.05	7.16E-01	1.00E00
regulation of histone modification (GO:0031056)	110	1	.95	+	1.05	6.19E-01	1.00E00
response to starvation (GO:0042594)	110	1	.95	+	1.05	6.19E-01	1.00E00
immune response (GO:0006955)	330	3	2.86	+	1.05	7.63E-01	1.00E00
protein catabolic process (GO:0030163)	332	3	2.88	+	1.04	7.64E-01	1.00E00
response to chemical (GO:0042221)	1219	11	10.56	+	1.04	8.64E-01	1.00E00
regulation of defense response (GO:0031347)	222	2	1.92	+	1.04	7.19E-01	1.00E00
export from cell (GO:0140352)	112	1	.97	+	1.03	6.26E-01	1.00E00
nervous system process (GO:0050877)	224	2	1.94	+	1.03	7.21E-01	1.00E00
aging (GO:0007568)	112	1	.97	+	1.03	6.26E-01	1.00E00
regulation of cellular amide metabolic process (GO:0034248)	225	2	1.95	+	1.03	7.22E-01	1.00E00
regulation of transport (GO:0051049)	563	5	4.88	+	1.02	8.14E-01	1.00E00
cellular protein modification process (GO:0006464)	1239	11	10.74	+	1.02	8.65E-01	1.00E00
protein modification process (GO:0036211)	1239	11	10.74	+	1.02	8.65E-01	1.00E00
regulation of intracellular signal transduction (GO:1902531)	677	6	5.87	+	1.02	8.29E-01	1.00E00
positive regulation of cell cycle (GO:0045787)	113	1	.98	+	1.02	1.00E00	1.00E00
positive regulation of hydrolase activity (GO:0051345)	226	2	1.96	+	1.02	1.00E00	1.00E00
regulation of inflammatory response (GO:0050727)	113	1	.98	+	1.02	1.00E00	1.00E00
apoptotic signaling pathway (GO:0097190)	113	1	.98	+	1.02	1.00E00	1.00E00
multicellular organismal process (GO:0032501)	1925	17	16.68	+	1.02	8.84E-01	1.00E00
developmental process (GO:0032502)	1818	16	15.75	+	1.02	1.00E00	1.00E00
cellular protein metabolic process (GO:0044267)	1483	13	12.85	+	1.01	1.00E00	1.00E00
leukocyte differentiation (GO:0002521)	115	1	1.00	+	1.00	1.00E00	1.00E00
pattern specification process (GO:0007389)	115	1	1.00	+	1.00	1.00E00	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	345	3	2.99	+	1.00	1.00E00	1.00E00
regulation of developmental growth (GO:0048638)	115	1	1.00	+	1.00	1.00E00	1.00E00
biological_process (GO:0008150)	5874	51	50.90	+	1.00	1.00E00	1.00E00
cellular response to nitrogen compound (GO:1901699)	232	2	2.01	-	.99	1.00E00	1.00E00
regulation of cell cycle (GO:0051726)	464	4	4.02	-	.99	1.00E00	1.00E00
nucleobase-containing compound transport (GO:0015931)	116	1	1.01	-	.99	1.00E00	1.00E00
negative regulation of biological process (GO:0048519)	1975	17	17.11	-	.99	1.00E00	1.00E00
mRNA metabolic process (GO:0016071)	349	3	3.02	-	.99	1.00E00	1.00E00
cellular process (GO:0009987)	5251	45	45.50	-	.99	8.51E-01	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	1522	13	13.19	-	.99	1.00E00	1.00E00
positive regulation of signaling (GO:0023056)	589	5	5.10	-	.98	1.00E00	1.00E00
regulation of protein metabolic process (GO:0051246)	1062	9	9.20	-	.98	1.00E00	1.00E00
cellular response to chemical stress (GO:0062197)	118	1	1.02	-	.98	1.00E00	1.00E00
viral process (GO:0016032)	118	1	1.02	-	.98	1.00E00	1.00E00
cellular response to extracellular stimulus (GO:0031668)	119	1	1.03	-	.97	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	358	3	3.10	-	.97	1.00E00	1.00E00
cellular response to stimulus (GO:0051716)	2031	17	17.60	-	.97	1.00E00	1.00E00
cell differentiation (GO:0030154)	1084	9	9.39	-	.96	1.00E00	1.00E00
neuron development (GO:0048666)	242	2	2.10	-	.95	1.00E00	1.00E00
organonitrogen compound metabolic process (GO:1901564)	2063	17	17.88	-	.95	8.85E-01	1.00E00
DNA repair (GO:0006281)	243	2	2.11	-	.95	1.00E00	1.00E00
cellular metabolic process (GO:0044237)	3161	26	27.39	-	.95	7.85E-01	1.00E00
cellular response to DNA damage stimulus (GO:0006974)	365	3	3.16	-	.95	1.00E00	1.00E00
negative regulation of cellular process (GO:0048523)	1834	15	15.89	-	.94	8.81E-01	1.00E00
localization (GO:0051179)	1835	15	15.90	-	.94	8.81E-01	1.00E00
macromolecule modification (GO:0043412)	1347	11	11.67	-	.94	1.00E00	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	123	1	1.07	-	.94	1.00E00	1.00E00
carboxylic acid catabolic process (GO:0046395)	123	1	1.07	-	.94	1.00E00	1.00E00
positive regulation of immune system process (GO:0002684)	246	2	2.13	-	.94	1.00E00	1.00E00
regulation of hydrolase activity (GO:0051336)	372	3	3.22	-	.93	1.00E00	1.00E00
chemotaxis (GO:0006935)	124	1	1.07	-	.93	1.00E00	1.00E00
nucleocytoplasmic transport (GO:0006913)	124	1	1.07	-	.93	1.00E00	1.00E00
positive regulation of protein transport (GO:0051222)	124	1	1.07	-	.93	1.00E00	1.00E00
nuclear transport (GO:0051169)	124	1	1.07	-	.93	1.00E00	1.00E00
taxis (GO:0042330)	124	1	1.07	-	.93	1.00E00	1.00E00
response to stimulus (GO:0050896)	2483	20	21.52	-	.93	7.80E-01	1.00E00
cellular developmental process (GO:0048869)	1122	9	9.72	-	.93	1.00E00	1.00E00
regulation of organelle organization (GO:0033043)	500	4	4.33	-	.92	1.00E00	1.00E00
cellular response to abiotic stimulus (GO:0071214)	125	1	1.08	-	.92	1.00E00	1.00E00
mitotic cell cycle (GO:0000278)	250	2	2.17	-	.92	1.00E00	1.00E00
lymphocyte activation (GO:0046649)	125	1	1.08	-	.92	1.00E00	1.00E00
cellular response to environmental stimulus (GO:0104004)	125	1	1.08	-	.92	1.00E00	1.00E00
wound healing (GO:0042060)	125	1	1.08	-	.92	1.00E00	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	251	2	2.17	-	.92	1.00E00	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	126	1	1.09	-	.92	1.00E00	1.00E00
organic acid catabolic process (GO:0016054)	126	1	1.09	-	.92	1.00E00	1.00E00
positive regulation of biological process (GO:0048518)	2273	18	19.70	-	.91	6.73E-01	1.00E00
cellular macromolecule metabolic process (GO:0044260)	2022	16	17.52	-	.91	7.71E-01	1.00E00
regulation of response to DNA damage stimulus (GO:2001020)	127	1	1.10	-	.91	1.00E00	1.00E00
purine nucleotide metabolic process (GO:0006163)	127	1	1.10	-	.91	1.00E00	1.00E00
negative regulation of signal transduction (GO:0009968)	508	4	4.40	-	.91	1.00E00	1.00E00
regulation of lymphocyte activation (GO:0051249)	127	1	1.10	-	.91	1.00E00	1.00E00
cellular homeostasis (GO:0019725)	255	2	2.21	-	.91	1.00E00	1.00E00
organophosphate metabolic process (GO:0019637)	383	3	3.32	-	.90	1.00E00	1.00E00
protein metabolic process (GO:0019538)	1663	13	14.41	-	.90	7.58E-01	1.00E00
alcohol metabolic process (GO:0006066)	129	1	1.12	-	.89	1.00E00	1.00E00
secretion (GO:0046903)	129	1	1.12	-	.89	1.00E00	1.00E00
generation of neurons (GO:0048699)	388	3	3.36	-	.89	1.00E00	1.00E00
small molecule metabolic process (GO:0044281)	649	5	5.62	-	.89	1.00E00	1.00E00
nitrogen compound metabolic process (GO:0006807)	2860	22	24.78	-	.89	4.94E-01	1.00E00
metabolic process (GO:0008152)	3380	26	29.29	-	.89	4.12E-01	1.00E00
fatty acid metabolic process (GO:0006631)	130	1	1.13	-	.89	1.00E00	1.00E00
response to xenobiotic stimulus (GO:0009410)	130	1	1.13	-	.89	1.00E00	1.00E00
heterocycle metabolic process (GO:0046483)	1303	10	11.29	-	.89	7.40E-01	1.00E00
cellular aromatic compound metabolic process (GO:0006725)	1304	10	11.30	-	.89	7.40E-01	1.00E00
regulation of protein modification process (GO:0031399)	652	5	5.65	-	.89	1.00E00	1.00E00
mRNA processing (GO:0006397)	262	2	2.27	-	.88	1.00E00	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	131	1	1.14	-	.88	1.00E00	1.00E00
cellular component assembly (GO:0022607)	927	7	8.03	-	.87	8.48E-01	1.00E00
negative regulation of cell communication (GO:0010648)	530	4	4.59	-	.87	1.00E00	1.00E00
negative regulation of signaling (GO:0023057)	531	4	4.60	-	.87	1.00E00	1.00E00
positive regulation of cellular process (GO:0048522)	2127	16	18.43	-	.87	5.65E-01	1.00E00
macromolecule methylation (GO:0043414)	133	1	1.15	-	.87	1.00E00	1.00E00
regulation of cell-cell adhesion (GO:0022407)	133	1	1.15	-	.87	1.00E00	1.00E00
cellular component biogenesis (GO:0044085)	1066	8	9.24	-	.87	8.56E-01	1.00E00
brain development (GO:0007420)	267	2	2.31	-	.86	1.00E00	1.00E00
negative regulation of transport (GO:0051051)	134	1	1.16	-	.86	1.00E00	1.00E00
positive regulation of cell projection organization (GO:0031346)	135	1	1.17	-	.85	1.00E00	1.00E00
positive regulation of protein kinase activity (GO:0045860)	135	1	1.17	-	.85	1.00E00	1.00E00
gene expression (GO:0010467)	946	7	8.20	-	.85	8.49E-01	1.00E00
regulation of cellular component size (GO:0032535)	136	1	1.18	-	.85	1.00E00	1.00E00
cell-cell adhesion (GO:0098609)	136	1	1.18	-	.85	1.00E00	1.00E00
regulation of signaling (GO:0023051)	1231	9	10.67	-	.84	7.31E-01	1.00E00
purine-containing compound metabolic process (GO:0072521)	137	1	1.19	-	.84	1.00E00	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	823	6	7.13	-	.84	8.40E-01	1.00E00
posttranscriptional regulation of gene expression (GO:0010608)	275	2	2.38	-	.84	1.00E00	1.00E00
cellular macromolecule catabolic process (GO:0044265)	414	3	3.59	-	.84	1.00E00	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	138	1	1.20	-	.84	1.00E00	1.00E00
protein-containing complex subunit organization (GO:0043933)	553	4	4.79	-	.83	1.00E00	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	1245	9	10.79	-	.83	7.32E-01	1.00E00
regulation of immune response (GO:0050776)	277	2	2.40	-	.83	1.00E00	1.00E00
negative regulation of cellular component organization (GO:0051129)	277	2	2.40	-	.83	1.00E00	1.00E00
regulation of protein serine/threonine kinase activity (GO:0071900)	139	1	1.20	-	.83	1.00E00	1.00E00
neuron projection morphogenesis (GO:0048812)	139	1	1.20	-	.83	1.00E00	1.00E00
negative regulation of immune system process (GO:0002683)	139	1	1.20	-	.83	1.00E00	1.00E00
organic cyclic compound metabolic process (GO:1901360)	1392	10	12.06	-	.83	6.23E-01	1.00E00
primary metabolic process (GO:0044238)	3068	22	26.58	-	.83	2.22E-01	1.00E00
phosphorus metabolic process (GO:0006793)	837	6	7.25	-	.83	8.40E-01	1.00E00
organic substance metabolic process (GO:0071704)	3212	23	27.83	-	.83	2.19E-01	1.00E00
chromosome organization (GO:0051276)	420	3	3.64	-	.82	1.00E00	1.00E00
ubiquitin-dependent protein catabolic process (GO:0006511)	280	2	2.43	-	.82	1.00E00	1.00E00
phosphorylation (GO:0016310)	421	3	3.65	-	.82	1.00E00	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	141	1	1.22	-	.82	1.00E00	1.00E00
cellular amino acid metabolic process (GO:0006520)	141	1	1.22	-	.82	1.00E00	1.00E00
gland development (GO:0048732)	141	1	1.22	-	.82	1.00E00	1.00E00
modification-dependent protein catabolic process (GO:0019941)	282	2	2.44	-	.82	1.00E00	1.00E00
response to lipid (GO:0033993)	282	2	2.44	-	.82	1.00E00	1.00E00
cellular response to organic substance (GO:0071310)	705	5	6.11	-	.82	8.29E-01	1.00E00
neurogenesis (GO:0022008)	424	3	3.67	-	.82	1.00E00	1.00E00
macromolecule metabolic process (GO:0043170)	2548	18	22.08	-	.82	3.30E-01	1.00E00
cell projection morphogenesis (GO:0048858)	142	1	1.23	-	.81	1.00E00	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	142	1	1.23	-	.81	1.00E00	1.00E00
regulation of small molecule metabolic process (GO:0062012)	143	1	1.24	-	.81	1.00E00	1.00E00
regulation of cellular protein metabolic process (GO:0032268)	1002	7	8.68	-	.81	7.09E-01	1.00E00
positive regulation of molecular function (GO:0044093)	573	4	4.97	-	.81	8.15E-01	1.00E00
positive regulation of phosphorylation (GO:0042327)	287	2	2.49	-	.80	1.00E00	1.00E00
reproductive structure development (GO:0048608)	144	1	1.25	-	.80	1.00E00	1.00E00
regulation of transmembrane transport (GO:0034762)	144	1	1.25	-	.80	1.00E00	1.00E00
regulation of immune system process (GO:0002682)	433	3	3.75	-	.80	1.00E00	1.00E00
head development (GO:0060322)	289	2	2.50	-	.80	1.00E00	1.00E00
positive regulation of cellular protein metabolic process (GO:0032270)	578	4	5.01	-	.80	8.15E-01	1.00E00
