




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
astrocyte projection (GO:0097449)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
spine apparatus (GO:0097444)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
intrinsic component of presynaptic membrane (GO:0098889)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) (GO:0000275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	20	0	.23	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor complex (GO:0098878)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ER to Golgi transport vesicle membrane (GO:0012507)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
ASTRA complex (GO:0070209)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microbody lumen (GO:0031907)	31	0	.36	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
endosome lumen (GO:0031904)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	112	0	1.31	-	 < 0.01	6.42E-01	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SUMO ligase complex (GO:0106068)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
tubular endosome (GO:0097422)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end (GO:0035371)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
ectoplasm (GO:0043265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UBC13-UEV1A complex (GO:0035370)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
serine C-palmitoyltransferase complex (GO:0017059)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-11 complex (GO:0043260)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PCNA-p21 complex (GO:0070557)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurofibrillary tangle (GO:0097418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel complex (GO:0008076)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
subapical complex (GO:0035003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-10 complex (GO:0043259)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase III complex (GO:0035000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin complex (GO:0043256)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
membrane microdomain (GO:0098857)	103	0	1.21	-	 < 0.01	6.34E-01	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CAF-1 complex (GO:0033186)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2-Toll-like receptor 6 protein complex (GO:0035355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ragulator complex (GO:0071986)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome (GO:0098845)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone (GO:0098843)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AIP1-IRE1 complex (GO:1990597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BRCA1-C complex (GO:0070533)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V0 domain (GO:0033179)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
BRCA1-A complex (GO:0070531)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase complex (GO:0033176)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic spine neck (GO:0044326)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear replication fork (GO:0043596)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
postsynaptic density membrane (GO:0098839)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome (GO:0098837)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone (GO:0098833)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
nuclear chromosome (GO:0000228)	93	0	1.09	-	 < 0.01	6.29E-01	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ARC complex (GO:0033167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
melanosome membrane (GO:0033162)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
SPOTS complex (GO:0035339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal vesicle (GO:0001669)	24	0	.28	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calyx of Held (GO:0044305)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell cilium (GO:0097733)	31	0	.36	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
9+0 non-motile cilium (GO:0097731)	37	0	.43	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
non-motile cilium (GO:0097730)	46	0	.54	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
transcriptionally active chromatin (GO:0035327)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
sperm fibrous sheath (GO:0035686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase complex (GO:1990204)	34	0	.40	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetyltransferase complex (GO:0036409)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription elongation factor complex (GO:0008023)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex (GO:0008385)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of plasma membrane (GO:0019897)	51	0	.60	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core factor complex (GO:0070860)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amyloid-beta complex (GO:0106003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mCRD-mediated mRNA stability complex (GO:0106002)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
prefoldin complex (GO:0016272)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
bleb (GO:0032059)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
myelin sheath (GO:0043209)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase complex (GO:1905202)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
translation release factor complex (GO:0018444)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perikaryon (GO:0043204)	31	0	.36	-	 < 0.01	1.00E00	1.00E00
axon hillock (GO:0043203)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Ku70:Ku80 complex (GO:0043564)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Myc-Max complex (GO:0071943)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
XPC complex (GO:0071942)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
axon cytoplasm (GO:1904115)	29	0	.34	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex (GO:0098803)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
plasma membrane signaling receptor complex (GO:0098802)	48	0	.56	-	 < 0.01	1.00E00	1.00E00
cell body fiber (GO:0070852)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
DSIF complex (GO:0032044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small-subunit processome (GO:0032040)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell receptor complex (GO:0042105)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
core mediator complex (GO:0070847)	20	0	.23	-	 < 0.01	1.00E00	1.00E00
T cell receptor complex (GO:0042101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric repeat region (GO:0140445)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
Mon1-Ccz1 complex (GO:0035658)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eRF1 methyltransferase complex (GO:0035657)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor connecting cilium (GO:0032391)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex (GO:0043540)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cleavage body (GO:0071920)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phospholipid-translocating ATPase complex (GO:1990531)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	32	0	.37	-	 < 0.01	1.00E00	1.00E00
subcortical maternal complex (GO:0106333)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leading edge of lamellipodium (GO:0061851)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex (GO:0032389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NELF complex (GO:0032021)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
paraferritin complex (GO:0070826)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Sin3-type complex (GO:0070822)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network membrane (GO:0033106)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
tertiary granule membrane (GO:0070821)	24	0	.28	-	 < 0.01	1.00E00	1.00E00
tertiary granule (GO:0070820)	58	0	.68	-	 < 0.01	1.00E00	1.00E00
dendritic spine cytoplasm (GO:0061846)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron projection branch point (GO:0061845)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aggresome (GO:0016235)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
nuclear pore nuclear basket (GO:0044615)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
inclusion body (GO:0016234)	35	0	.41	-	 < 0.01	1.00E00	1.00E00
nuclear pore cytoplasmic filaments (GO:0044614)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore central transport channel (GO:0044613)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Cdc73/Paf1 complex (GO:0016593)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
mediator complex (GO:0016592)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
dynein axonemal particle (GO:0120293)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	41	0	.48	-	 < 0.01	1.00E00	1.00E00
ACF complex (GO:0016590)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CD40 receptor complex (GO:0035631)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
phagolysosome (GO:0032010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CST complex (GO:1990879)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of nuclear pore (GO:1990876)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CLOCK-BMAL transcription complex (GO:1990513)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
omegasome membrane (GO:1903349)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
DBIRD complex (GO:0044609)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NURF complex (GO:0016589)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
RSC-type complex (GO:0016586)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase complex (GO:0016222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NuRD complex (GO:0016581)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
Sin3 complex (GO:0016580)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
senescence-associated heterochromatin focus (GO:0035985)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-28 receptor complex (GO:0032002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase complex (GO:1904423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polysomal ribosome (GO:0042788)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor complex (GO:0008328)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
exon-exon junction subcomplex mago-y14 (GO:1990501)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
sperm head (GO:0061827)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome complex (GO:0000502)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
death-inducing signaling complex (GO:0031264)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
male pronucleus (GO:0001940)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex (GO:0031261)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
filopodium (GO:0030175)	40	0	.47	-	 < 0.01	1.00E00	1.00E00
integral component of Golgi membrane (GO:0030173)	31	0	.36	-	 < 0.01	1.00E00	1.00E00
female pronucleus (GO:0001939)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA cap binding complex (GO:0034518)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
lamellipodium membrane (GO:0031258)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
proteasome storage granule (GO:0034515)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell trailing edge (GO:0031254)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endoplasmic reticulum membrane (GO:0042406)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
uropod (GO:0001931)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear inclusion body (GO:0042405)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
PAN complex (GO:0031251)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin complex (GO:0008305)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
caspase complex (GO:0008303)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
7SK snRNP (GO:0120259)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex (GO:0019814)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric core domain (GO:0034506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment (GO:0001917)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
intrinsic component of the cytoplasmic side of the plasma membrane (GO:0031235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosolic proteasome complex (GO:0031597)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	30	0	.35	-	 < 0.01	1.00E00	1.00E00
intrinsic component of external side of plasma membrane (GO:0031233)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear proteasome complex (GO:0031595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of external side of plasma membrane (GO:0031232)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
neuromuscular junction (GO:0031594)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
intrinsic component of peroxisomal membrane (GO:0031231)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
centrosomal corona (GO:0031592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle (GO:0030140)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase complex (GO:1902562)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
intrinsic component of nuclear inner membrane (GO:0031229)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
intrinsic component of Golgi membrane (GO:0031228)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
anchored component of membrane (GO:0031225)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
presynaptic membrane (GO:0042734)	34	0	.40	-	 < 0.01	1.00E00	1.00E00
nuclear MIS12/MIND complex (GO:0000818)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth cone filopodium (GO:1990812)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MWP complex (GO:1990811)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum (GO:0016529)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex (GO:0000815)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
sarcoplasm (GO:0016528)	23	0	.27	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle (GO:0030137)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
ESCRT II complex (GO:0000814)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ESCRT I complex (GO:0000813)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
Swr1 complex (GO:0000812)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	35	0	.41	-	 < 0.01	1.00E00	1.00E00
clathrin coat of coated pit (GO:0030132)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor complex (GO:0030131)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
clathrin coat of trans-Golgi network vesicle (GO:0030130)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
endoribonuclease complex (GO:1902555)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex (GO:0032302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex (GO:0032301)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex (GO:0032300)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
calpain complex (GO:0110158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tertiary granule lumen (GO:1904724)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
RSF complex (GO:0031213)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum palmitoyltransferase complex (GO:0031211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
origin recognition complex (GO:0000808)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
Y chromosome (GO:0000806)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin coat of endocytic vesicle (GO:0030128)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
X chromosome (GO:0000805)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coat (GO:0030127)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
