




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
alkylglycerophosphoethanolamine phosphodiesterase activity (GO:0047391)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
enterobactin binding (GO:1903981)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
group II metabotropic glutamate receptor activity (GO:0001641)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	20	0	.57	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type I, activating receptor activity (GO:0004909)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor activity (GO:0004908)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
type I interferon receptor activity (GO:0004905)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interferon receptor activity (GO:0004904)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerophosphocholine phosphodiesterase activity (GO:0047389)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor activity (GO:0004903)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling (GO:0086020)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
G protein-coupled chemoattractant receptor activity (GO:0001637)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity (GO:0052929)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CTP:3'-cytidine-tRNA cytidylyltransferase activity (GO:0052928)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
TIR domain binding (GO:0070976)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
calcitonin gene-related peptide receptor activity (GO:0001635)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
CTP:tRNA cytidylyltransferase activity (GO:0052927)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
FHA domain binding (GO:0070975)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity (GO:0052925)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-catenin binding (GO:0008013)	36	0	1.03	-	 < 0.01	6.26E-01	1.00E00
all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity (GO:0047376)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylumbelliferyl-acetate deacetylase activity (GO:0047374)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
acylglycerol lipase activity (GO:0047372)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
snoRNP binding (GO:0030519)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione oxidoreductase activity (GO:0097573)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase (GO:0052917)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
chemokine activity (GO:0008009)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
succinate-hydroxymethylglutarate CoA-transferase activity (GO:0047369)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RS domain binding (GO:0050733)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
benzaldehyde dehydrogenase (NAD+) activity (GO:0018479)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel activity involved in cardiac muscle cell action potential (GO:0086006)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spectrin binding (GO:0030507)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
ankyrin binding (GO:0030506)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
virus receptor activity (GO:0001618)	28	0	.80	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphate transmembrane transporter activity (GO:0030504)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity (GO:0052909)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acyl-[acyl-carrier-protein] hydrolase activity (GO:0016297)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
purinergic nucleotide receptor activity (GO:0001614)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
palmitoyl-[acyl-carrier-protein] hydrolase activity (GO:0016296)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(37)-N(1))-methyltransferase activity (GO:0052906)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myristoyl-[acyl-carrier-protein] hydrolase activity (GO:0016295)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(9)-N(1))-methyltransferase activity (GO:0052905)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052904)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052903)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity (GO:0052902)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spermine:oxygen oxidoreductase (spermidine-forming) activity (GO:0052901)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA hydrolase activity (GO:0016290)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
1-alkenyl-2-acylglycerol choline phosphotransferase activity (GO:0047359)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex binding (GO:0010997)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
adenylylsulfate-ammonia adenylyltransferase activity (GO:0047352)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cadherin binding involved in cell-cell adhesion (GO:0098641)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
G protein-coupled adenosine receptor activity (GO:0001609)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CoA hydrolase activity (GO:0016289)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor activity (GO:0001605)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerone-phosphate O-acyltransferase activity (GO:0016287)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione dehydrogenase (ascorbate) activity (GO:0045174)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide YY receptor activity (GO:0001601)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
L-proline transmembrane transporter activity (GO:0015193)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine transmembrane transporter activity (GO:0015191)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-leucine transmembrane transporter activity (GO:0015190)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity (GO:0051800)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-ribitol-5-phosphate cytidylyltransferase activity (GO:0047349)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
collagen binding involved in cell-matrix adhesion (GO:0098639)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase [NAD(P)+] activity (GO:0018455)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
fucose-1-phosphate guanylyltransferase activity (GO:0047341)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cell-matrix adhesion mediator activity (GO:0098634)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion mediator activity (GO:0098632)	20	0	.57	-	 < 0.01	1.00E00	1.00E00
cell adhesion mediator activity (GO:0098631)	23	0	.66	-	 < 0.01	1.00E00	1.00E00
[myelin basic protein]-arginine N-methyltransferase activity (GO:0016277)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-arginine N-methyltransferase activity (GO:0016274)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
arginine N-methyltransferase activity (GO:0016273)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
glycine transmembrane transporter activity (GO:0015187)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
L-cystine transmembrane transporter activity (GO:0015184)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
L-asparagine transmembrane transporter activity (GO:0015182)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
L-alanine transmembrane transporter activity (GO:0015180)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
toxin transmembrane transporter activity (GO:0019534)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity (GO:0008693)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxalate transmembrane transporter activity (GO:0019531)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
phosphoseryl-selenocysteinyl-tRNA selenium transferase activity (GO:0098621)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin II binding (GO:0045159)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/dimethyl-lysine-9 demethylase activity (GO:0140684)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
estradiol binding (GO:1903924)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-9 demethylase activity (GO:0140683)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-4 FAD-dependent demethylase activity (GO:0140682)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/dimethyl-lysine-36 demethylase activity (GO:0140681)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-36 demethylase activity (GO:0140680)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity (GO:0016263)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase activity (GO:0016262)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
neutral amino acid transmembrane transporter activity (GO:0015175)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinone-9 3-O-methyltransferase activity (GO:0008689)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase inhibitor activity (GO:0036487)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 5-kinase activity (GO:0047326)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity (GO:0008682)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-octaprenyl-6-methoxyphenol hydroxylase activity (GO:0008681)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 5'-3' exodeoxyribonuclease activity (GO:0045145)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid receptor activity (GO:0070915)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
triplex DNA binding (GO:0045142)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
glucuronoside transmembrane transporter activity (GO:0015164)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor binding (GO:0048408)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor binding (GO:0048407)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
nerve growth factor binding (GO:0048406)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
brain-derived neurotrophic factor binding (GO:0048403)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxidase inhibitor activity (GO:0036479)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamine-phenylpyruvate transaminase activity (GO:0047316)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2,4-dienoyl-CoA reductase (NADPH) activity (GO:0008670)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
annealing activity (GO:0140666)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
ATP-gated ion channel activity (GO:0035381)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
uridine-diphosphatase activity (GO:0045134)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
serine binding (GO:0070905)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
pre-mRNA branch point binding (GO:0045131)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity (GO:0008663)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CoA pyrophosphatase activity (GO:0010945)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ATP-dependent chromatin remodeler activity (GO:0140658)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
deaminated base DNA N-glycosylase activity (GO:0097506)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate proteoglycan binding (GO:0035373)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
bioactive lipid receptor activity (GO:0045125)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
hexose transmembrane transporter activity (GO:0015149)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
HNK-1 sulfotransferase activity (GO:0016232)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
P-type sodium:potassium-exchanging transporter activity (GO:0005391)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylglucosaminidase activity (GO:0016231)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingomyelin phosphodiesterase activator activity (GO:0016230)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monosaccharide transmembrane transporter activity (GO:0015145)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transporter activity (GO:0015144)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein phosphatase activity (GO:0033192)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
urate transmembrane transporter activity (GO:0015143)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity (GO:0008659)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transporter activity (GO:0015142)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transporter activity (GO:0015140)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor binding (GO:0036458)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine-(S)-S-oxide reductase activity (GO:0036456)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-2'-O-)-methyltransferase activity (GO:0008650)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
selenocysteine insertion sequence binding (GO:0035368)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity (GO:0005388)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex binding (GO:0062078)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
acyl-CoA delta5-desaturase activity (GO:0062076)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
sphingomyelin synthase activity (GO:0033188)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
threonine-type endopeptidase activity (GO:0004298)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
H3K9me3 modified histone binding (GO:0062072)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
leptomycin B binding (GO:1901707)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H4-R3 specific) (GO:0044020)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
rRNA methyltransferase activity (GO:0008649)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
salt transmembrane transporter activity (GO:1901702)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
SAM domain binding (GO:0032093)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like modifier activating enzyme activity (GO:0008641)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
GARP complex binding (GO:0062069)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
co-receptor binding (GO:0039706)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
acyl-CoA desaturase activity (GO:0016215)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex binding (GO:0062065)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transporter activity (GO:0015129)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
linoleoyl-CoA desaturase activity (GO:0016213)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP complex binding (GO:0062064)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
kynurenine-oxoglutarate transaminase activity (GO:0016212)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
BBSome binding (GO:0062063)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
bile acid transmembrane transporter activity (GO:0015125)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
H2B histone acetyltransferase activity (GO:0044013)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
dCMP kinase activity (GO:0036431)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CMP kinase activity (GO:0036430)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA hydrolase activity (GO:0047994)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxylysine kinase activity (GO:0047992)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
opioid growth factor receptor activity (GO:0140625)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
taurine:sodium symporter activity (GO:0005369)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
antioxidant activity (GO:0016209)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
taurine transmembrane transporter activity (GO:0005368)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
hexose phosphate transmembrane transporter activity (GO:0015119)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiosulfate transmembrane transporter activity (GO:0015117)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transporter activity (GO:0015116)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
GPI-mannose ethanolamine phosphate phosphodiesterase activity (GO:0062050)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphate ion transmembrane transporter activity (GO:0015114)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
iodide transmembrane transporter activity (GO:0015111)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-phosphoserine phosphatase activity (GO:0036424)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polyprenyltransferase activity (GO:0002094)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate adenylate kinase activity (GO:0046899)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
P-type manganese transporter activity (GO:0140613)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial transcription factor activity (GO:0034246)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA damage sensor activity (GO:0140612)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transporter activity (GO:0005355)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transporter activity (GO:0005353)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transporter activity (GO:0015108)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
carbohydrate:proton symporter activity (GO:0005351)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
bicarbonate transmembrane transporter activity (GO:0015106)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transporter activity (GO:0015103)	37	0	1.06	-	 < 0.01	6.26E-01	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP hydrolase activity (GO:0106177)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
vanadium ion transmembrane transporter activity (GO:0015100)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate decaprenyltransferase activity (GO:0002083)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanosine phosphorylase activity (GO:0047975)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor binding (GO:0035325)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
protein kinase A regulatory subunit binding (GO:0034237)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
protein kinase A catalytic subunit binding (GO:0034236)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
ATP transmembrane transporter activity (GO:0005347)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
GPI anchor binding (GO:0034235)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide transmembrane transporter activity (GO:0005346)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
D-loop DNA binding (GO:0062037)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
FFAT motif binding (GO:0033149)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
5S rDNA binding (GO:0080084)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
organic acid:sodium symporter activity (GO:0005343)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
progesterone receptor binding (GO:0033142)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alkylglycerone-phosphate synthase activity (GO:0008609)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase regulator activity (GO:0008607)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
bile acid binding (GO:0032052)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
clathrin light chain binding (GO:0032051)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase regulator activity (GO:0008603)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
mRNA N-acetyltransferase activity (GO:0106162)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proteasome-activating activity (GO:0036402)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
glycine N-benzoyltransferase activity (GO:0047962)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-3' exodeoxyribonuclease activity (GO:0035312)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
glycine N-acyltransferase activity (GO:0047961)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
ephrin receptor binding (GO:0046875)	15	0	.43	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serotonin:sodium symporter activity (GO:0005335)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cadmium ion binding (GO:0046870)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid:sodium symporter activity (GO:0005332)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	26	0	.74	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor binding (GO:0033130)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine 3-dioxygenase activity (GO:0106157)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H3-K14 specific) (GO:0032041)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
phosphorylated histone binding (GO:0106153)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerol dehydrogenase [NADP+] activity (GO:0047956)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
