




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	13_Adipose_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	13_Adipose_DeAndDiuGenes.txt (120)	13_Adipose_DeAndDiuGenes.txt (expected)	13_Adipose_DeAndDiuGenes.txt (over/under)	13_Adipose_DeAndDiuGenes.txt (fold Enrichment)	13_Adipose_DeAndDiuGenes.txt (raw P-value)	13_Adipose_DeAndDiuGenes.txt (FDR)
centrosome (GO:0005813)	342	7	5.75	+	1.22	5.19E-01	1.00E00
endomembrane system (GO:0012505)	2007	41	33.72	+	1.22	1.52E-01	1.00E00
ciliary plasm (GO:0097014)	49	1	.82	+	1.21	5.67E-01	1.00E00
endopeptidase complex (GO:1905369)	49	1	.82	+	1.21	5.67E-01	1.00E00
plasma membrane bounded cell projection (GO:0120025)	846	17	14.21	+	1.20	3.96E-01	1.00E00
lytic vacuole membrane (GO:0098852)	200	4	3.36	+	1.19	5.81E-01	1.00E00
nuclear pore (GO:0005643)	50	1	.84	+	1.19	5.74E-01	1.00E00
lipid droplet (GO:0005811)	50	1	.84	+	1.19	5.74E-01	1.00E00
lysosomal membrane (GO:0005765)	200	4	3.36	+	1.19	5.81E-01	1.00E00
perinuclear region of cytoplasm (GO:0048471)	351	7	5.90	+	1.19	6.67E-01	1.00E00
cell surface (GO:0009986)	251	5	4.22	+	1.19	6.16E-01	1.00E00
bounding membrane of organelle (GO:0098588)	959	19	16.11	+	1.18	4.20E-01	1.00E00
basal plasma membrane (GO:0009925)	101	2	1.70	+	1.18	6.88E-01	1.00E00
ruffle (GO:0001726)	101	2	1.70	+	1.18	6.88E-01	1.00E00
cytoplasm (GO:0005737)	5218	103	87.67	+	1.17	1.18E-03	2.03E-01
endosome (GO:0005768)	456	9	7.66	+	1.17	5.72E-01	1.00E00
plasma membrane (GO:0005886)	1679	33	28.21	+	1.17	3.29E-01	1.00E00
melanosome (GO:0042470)	51	1	.86	+	1.17	5.81E-01	1.00E00
lamellipodium (GO:0030027)	102	2	1.71	+	1.17	6.90E-01	1.00E00
pigment granule (GO:0048770)	51	1	.86	+	1.17	5.81E-01	1.00E00
cytoplasmic vesicle (GO:0031410)	1031	20	17.32	+	1.15	5.12E-01	1.00E00
intracellular vesicle (GO:0097708)	1033	20	17.36	+	1.15	5.12E-01	1.00E00
microtubule cytoskeleton (GO:0015630)	672	13	11.29	+	1.15	5.31E-01	1.00E00
organelle membrane (GO:0031090)	1633	31	27.44	+	1.13	4.44E-01	1.00E00
extrinsic component of plasma membrane (GO:0019897)	53	1	.89	+	1.12	5.95E-01	1.00E00
membrane (GO:0016020)	3477	65	58.42	+	1.11	2.69E-01	1.00E00
membrane coat (GO:0030117)	54	1	.91	+	1.10	6.01E-01	1.00E00
chromosome, centromeric region (GO:0000775)	108	2	1.81	+	1.10	7.04E-01	1.00E00
coated membrane (GO:0048475)	54	1	.91	+	1.10	6.01E-01	1.00E00
cortical cytoskeleton (GO:0030863)	54	1	.91	+	1.10	6.01E-01	1.00E00
transport vesicle (GO:0030133)	165	3	2.77	+	1.08	7.58E-01	1.00E00
serine/threonine protein kinase complex (GO:1902554)	55	1	.92	+	1.08	6.08E-01	1.00E00
ion channel complex (GO:0034702)	55	1	.92	+	1.08	6.08E-01	1.00E00
vacuolar membrane (GO:0005774)	223	4	3.75	+	1.07	7.90E-01	1.00E00
ubiquitin ligase complex (GO:0000151)	168	3	2.82	+	1.06	7.61E-01	1.00E00
basal part of cell (GO:0045178)	112	2	1.88	+	1.06	7.13E-01	1.00E00
catalytic complex (GO:1902494)	792	14	13.31	+	1.05	7.71E-01	1.00E00
protein-containing complex (GO:0032991)	2460	43	41.33	+	1.04	7.72E-01	1.00E00
organelle lumen (GO:0043233)	2863	50	48.10	+	1.04	7.78E-01	1.00E00
intracellular organelle lumen (GO:0070013)	2863	50	48.10	+	1.04	7.78E-01	1.00E00
membrane-enclosed lumen (GO:0031974)	2863	50	48.10	+	1.04	7.78E-01	1.00E00
organelle (GO:0043226)	5929	103	99.62	+	1.03	4.63E-01	1.00E00
membrane-bounded organelle (GO:0043227)	5660	98	95.10	+	1.03	5.71E-01	1.00E00
ribosomal subunit (GO:0044391)	58	1	.97	+	1.03	6.27E-01	1.00E00
cytoskeleton (GO:0005856)	1047	18	17.59	+	1.02	8.97E-01	1.00E00
cytosol (GO:0005829)	2685	46	45.11	+	1.02	9.24E-01	1.00E00
phagocytic vesicle (GO:0045335)	59	1	.99	+	1.01	1.00E00	1.00E00
intracellular anatomical structure (GO:0005622)	6314	107	106.09	+	1.01	8.86E-01	1.00E00
cellular_component (GO:0005575)	6905	117	116.02	+	1.01	8.00E-01	1.00E00
intracellular organelle (GO:0043229)	5725	97	96.19	+	1.01	9.09E-01	1.00E00
cell junction (GO:0030054)	768	13	12.90	+	1.01	1.00E00	1.00E00
cellular anatomical entity (GO:0110165)	6869	116	115.41	+	1.01	1.00E00	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	5341	90	89.74	+	1.00	1.00E00	1.00E00
plasma membrane region (GO:0098590)	421	7	7.07	-	.99	1.00E00	1.00E00
histone acetyltransferase complex (GO:0000123)	61	1	1.02	-	.98	1.00E00	1.00E00
neuron projection (GO:0043005)	488	8	8.20	-	.98	1.00E00	1.00E00
PML body (GO:0016605)	63	1	1.06	-	.94	1.00E00	1.00E00
protein kinase complex (GO:1902911)	63	1	1.06	-	.94	1.00E00	1.00E00
endoplasmic reticulum membrane (GO:0005789)	508	8	8.54	-	.94	1.00E00	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	512	8	8.60	-	.93	1.00E00	1.00E00
coated vesicle (GO:0030135)	128	2	2.15	-	.93	1.00E00	1.00E00
endocytic vesicle membrane (GO:0030666)	64	1	1.08	-	.93	1.00E00	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	520	8	8.74	-	.92	1.00E00	1.00E00
receptor complex (GO:0043235)	132	2	2.22	-	.90	1.00E00	1.00E00
intracellular non-membrane-bounded organelle (GO:0043232)	2320	35	38.98	-	.90	4.92E-01	1.00E00
non-membrane-bounded organelle (GO:0043228)	2320	35	38.98	-	.90	4.92E-01	1.00E00
transferase complex (GO:1990234)	467	7	7.85	-	.89	1.00E00	1.00E00
Golgi apparatus (GO:0005794)	734	11	12.33	-	.89	8.79E-01	1.00E00
protein acetyltransferase complex (GO:0031248)	67	1	1.13	-	.89	1.00E00	1.00E00
acetyltransferase complex (GO:1902493)	67	1	1.13	-	.89	1.00E00	1.00E00
peptidase complex (GO:1905368)	67	1	1.13	-	.89	1.00E00	1.00E00
nucleolus (GO:0005730)	539	8	9.06	-	.88	8.62E-01	1.00E00
nuclear body (GO:0016604)	484	7	8.13	-	.86	8.54E-01	1.00E00
kinetochore (GO:0000776)	70	1	1.18	-	.85	1.00E00	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	500	7	8.40	-	.83	8.56E-01	1.00E00
chromosome (GO:0005694)	791	11	13.29	-	.83	6.59E-01	1.00E00
late endosome (GO:0005770)	145	2	2.44	-	.82	1.00E00	1.00E00
vesicle membrane (GO:0012506)	510	7	8.57	-	.82	7.21E-01	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	149	2	2.50	-	.80	1.00E00	1.00E00
intracellular protein-containing complex (GO:0140535)	448	6	7.53	-	.80	7.05E-01	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	75	1	1.26	-	.79	1.00E00	1.00E00
organelle subcompartment (GO:0031984)	675	9	11.34	-	.79	6.35E-01	1.00E00
cell cortex (GO:0005938)	152	2	2.55	-	.78	1.00E00	1.00E00
plasma membrane protein complex (GO:0098797)	154	2	2.59	-	.77	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	77	1	1.29	-	.77	1.00E00	1.00E00
transport vesicle membrane (GO:0030658)	77	1	1.29	-	.77	1.00E00	1.00E00
fibrillar center (GO:0001650)	78	1	1.31	-	.76	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	237	3	3.98	-	.75	8.00E-01	1.00E00
endosome membrane (GO:0010008)	237	3	3.98	-	.75	8.00E-01	1.00E00
nuclear lumen (GO:0031981)	2362	29	39.69	-	.73	3.98E-02	1.00E00
nucleus (GO:0005634)	3503	43	58.86	-	.73	4.22E-03	3.02E-01
ribosome (GO:0005840)	82	1	1.38	-	.73	1.00E00	1.00E00
transcription regulator complex (GO:0005667)	247	3	4.15	-	.72	8.00E-01	1.00E00
membrane protein complex (GO:0098796)	412	5	6.92	-	.72	5.57E-01	1.00E00
nuclear envelope (GO:0005635)	248	3	4.17	-	.72	8.00E-01	1.00E00
nuclear protein-containing complex (GO:0140513)	745	9	12.52	-	.72	3.65E-01	1.00E00
nuclear speck (GO:0016607)	260	3	4.37	-	.69	8.03E-01	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	88	1	1.48	-	.68	1.00E00	1.00E00
anchoring junction (GO:0070161)	359	4	6.03	-	.66	5.27E-01	1.00E00
centriole (GO:0005814)	91	1	1.53	-	.65	1.00E00	1.00E00
nucleoplasm (GO:0005654)	2216	24	37.23	-	.64	9.31E-03	5.15E-01
plasma membrane bounded cell projection cytoplasm (GO:0032838)	93	1	1.56	-	.64	1.00E00	1.00E00
focal adhesion (GO:0005925)	198	2	3.33	-	.60	7.75E-01	1.00E00
cell-substrate junction (GO:0030055)	200	2	3.36	-	.60	7.76E-01	1.00E00
cell-cell junction (GO:0005911)	202	2	3.39	-	.59	7.76E-01	1.00E00
nuclear chromosome (GO:0000228)	102	1	1.71	-	.58	1.00E00	1.00E00
external side of plasma membrane (GO:0009897)	103	1	1.73	-	.58	1.00E00	1.00E00
midbody (GO:0030496)	108	1	1.81	-	.55	1.00E00	1.00E00
cytoplasmic region (GO:0099568)	112	1	1.88	-	.53	1.00E00	1.00E00
spindle (GO:0005819)	226	2	3.80	-	.53	5.92E-01	1.00E00
condensed chromosome (GO:0000793)	116	1	1.95	-	.51	1.00E00	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	119	1	2.00	-	.50	7.25E-01	1.00E00
chromatin (GO:0000785)	488	4	8.20	-	.49	1.45E-01	1.00E00
apical plasma membrane (GO:0016324)	125	1	2.10	-	.48	7.25E-01	1.00E00
trans-Golgi network (GO:0005802)	129	1	2.17	-	.46	7.26E-01	1.00E00
extrinsic component of membrane (GO:0019898)	130	1	2.18	-	.46	7.27E-01	1.00E00
ribonucleoprotein granule (GO:0035770)	135	1	2.27	-	.44	7.29E-01	1.00E00
Golgi membrane (GO:0000139)	299	2	5.02	-	.40	2.44E-01	1.00E00
apical part of cell (GO:0045177)	151	1	2.54	-	.39	5.22E-01	1.00E00
ribonucleoprotein complex (GO:1990904)	359	2	6.03	-	.33	1.32E-01	1.00E00
side of membrane (GO:0098552)	187	1	3.14	-	.32	3.77E-01	1.00E00
Golgi apparatus subcompartment (GO:0098791)	188	1	3.16	-	.32	3.78E-01	1.00E00
apical junction complex (GO:0043296)	59	0	.99	-	 < 0.01	1.00E00	1.00E00
apoptosome (GO:0043293)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ATPase dependent transmembrane transport complex (GO:0098533)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic specialization membrane (GO:0098892)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
CHOP-C/EBP complex (GO:0036488)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
astrocyte projection (GO:0097449)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
spine apparatus (GO:0097444)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
hyaluranon cable (GO:0036117)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) (GO:0000275)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor complex (GO:0098878)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
ER to Golgi transport vesicle membrane (GO:0012507)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
ASTRA complex (GO:0070209)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
epididymosome (GO:0098875)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor complex (GO:1990265)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
endosome lumen (GO:0031904)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
late endosome membrane (GO:0031902)	79	0	1.33	-	 < 0.01	6.43E-01	1.00E00
SUMO ligase complex (GO:0106068)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
tubular endosome (GO:0097422)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end (GO:0035371)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
ectoplasm (GO:0043265)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
UBC13-UEV1A complex (GO:0035370)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
serine C-palmitoyltransferase complex (GO:0017059)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription repressor complex (GO:0017053)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel complex (GO:0008076)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
growth factor complex (GO:0036454)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase III complex (GO:0035000)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic vesicle membrane (GO:0098850)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
pericentriolar material (GO:0000242)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2-Toll-like receptor 6 protein complex (GO:0035355)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Ragulator complex (GO:0071986)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome (GO:0098845)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone membrane (GO:0098844)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone (GO:0098843)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
AIP1-IRE1 complex (GO:1990597)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
BRCA1-C complex (GO:0070533)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V0 domain (GO:0033179)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
BRCA1-B complex (GO:0070532)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
BRCA1-A complex (GO:0070531)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase complex (GO:0033176)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
nuclear replication fork (GO:0043596)	20	0	.34	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome (GO:0098837)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
ARC complex (GO:0033167)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
melanosome membrane (GO:0033162)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
SPOTS complex (GO:0035339)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor receptor complex (GO:0035692)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
calyx of Held (GO:0044305)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell cilium (GO:0097733)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
main axon (GO:0044304)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
MLL3/4 complex (GO:0044666)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
9+0 non-motile cilium (GO:0097731)	42	0	.71	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
non-motile cilium (GO:0097730)	53	0	.89	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
cerebellar mossy fiber (GO:0044300)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
transcriptionally active chromatin (GO:0035327)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetyltransferase complex (GO:0036409)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
9+0 motile cilium (GO:0097728)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription elongation factor complex (GO:0008023)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex (GO:0008385)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core factor complex (GO:0070860)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
amyloid-beta complex (GO:0106003)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mCRD-mediated mRNA stability complex (GO:0106002)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
prefoldin complex (GO:0016272)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
bleb (GO:0032059)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
myelin sheath (GO:0043209)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase complex (GO:1905202)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
axon hillock (GO:0043203)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Ku70:Ku80 complex (GO:0043564)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Myc-Max complex (GO:0071943)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
XPC complex (GO:0071942)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
axon cytoplasm (GO:1904115)	31	0	.52	-	 < 0.01	1.00E00	1.00E00
plasma membrane signaling receptor complex (GO:0098802)	53	0	.89	-	 < 0.01	1.00E00	1.00E00
cell body fiber (GO:0070852)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
DSIF complex (GO:0032044)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
small-subunit processome (GO:0032040)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell receptor complex (GO:0042105)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
T cell receptor complex (GO:0042101)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric repeat region (GO:0140445)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
integrator complex (GO:0032039)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Mon1-Ccz1 complex (GO:0035658)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
photoreceptor connecting cilium (GO:0032391)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine transferase complex (GO:0043541)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cleavage body (GO:0071920)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phospholipid-translocating ATPase complex (GO:1990531)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	35	0	.59	-	 < 0.01	1.00E00	1.00E00
katanin complex (GO:0008352)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex (GO:0032389)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NELF complex (GO:0032021)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-mannosyltransferase I complex (GO:1990529)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
replication fork protection complex (GO:0031298)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
paraferritin complex (GO:0070826)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Sin3-type complex (GO:0070822)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
