




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
axon (GO:0030424)	247	7	7.06	-	.99	1.00E00	1.00E00
microtubule cytoskeleton (GO:0015630)	672	19	19.19	-	.99	1.00E00	1.00E00
intrinsic component of membrane (GO:0031224)	1735	49	49.56	-	.99	1.00E00	1.00E00
integral component of membrane (GO:0016021)	1705	48	48.70	-	.99	1.00E00	1.00E00
extracellular region (GO:0005576)	1288	36	36.79	-	.98	1.00E00	1.00E00
membrane (GO:0016020)	3477	97	99.32	-	.98	7.77E-01	1.00E00
microbody membrane (GO:0031903)	36	1	1.03	-	.97	1.00E00	1.00E00
chromosome, centromeric region (GO:0000775)	108	3	3.08	-	.97	1.00E00	1.00E00
peroxisomal membrane (GO:0005778)	36	1	1.03	-	.97	1.00E00	1.00E00
dendritic tree (GO:0097447)	217	6	6.20	-	.97	1.00E00	1.00E00
dendrite (GO:0030425)	217	6	6.20	-	.97	1.00E00	1.00E00
protein-containing complex (GO:0032991)	2460	68	70.27	-	.97	7.66E-01	1.00E00
nuclear lumen (GO:0031981)	2362	65	67.47	-	.96	7.63E-01	1.00E00
endomembrane system (GO:0012505)	2007	55	57.33	-	.96	7.53E-01	1.00E00
nucleoplasm (GO:0005654)	2216	60	63.30	-	.95	6.46E-01	1.00E00
cell periphery (GO:0071944)	1849	50	52.81	-	.95	6.86E-01	1.00E00
adherens junction (GO:0005912)	74	2	2.11	-	.95	1.00E00	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	37	1	1.06	-	.95	1.00E00	1.00E00
cell projection (GO:0042995)	890	24	25.42	-	.94	8.30E-01	1.00E00
membrane protein complex (GO:0098796)	412	11	11.77	-	.93	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	75	2	2.14	-	.93	1.00E00	1.00E00
nucleus (GO:0005634)	3503	93	100.06	-	.93	3.56E-01	1.00E00
apical part of cell (GO:0045177)	151	4	4.31	-	.93	1.00E00	1.00E00
photoreceptor cell cilium (GO:0097733)	38	1	1.09	-	.92	1.00E00	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	38	1	1.09	-	.92	1.00E00	1.00E00
brush border (GO:0005903)	38	1	1.09	-	.92	1.00E00	1.00E00
caveola (GO:0005901)	38	1	1.09	-	.92	1.00E00	1.00E00
chromosomal region (GO:0098687)	190	5	5.43	-	.92	1.00E00	1.00E00
intracellular non-membrane-bounded organelle (GO:0043232)	2320	61	66.27	-	.92	4.95E-01	1.00E00
non-membrane-bounded organelle (GO:0043228)	2320	61	66.27	-	.92	4.95E-01	1.00E00
plasma membrane (GO:0005886)	1679	44	47.96	-	.92	5.58E-01	1.00E00
plasma membrane protein complex (GO:0098797)	154	4	4.40	-	.91	1.00E00	1.00E00
condensed chromosome, centromeric region (GO:0000779)	77	2	2.20	-	.91	1.00E00	1.00E00
integral component of organelle membrane (GO:0031301)	193	5	5.51	-	.91	1.00E00	1.00E00
transferase complex (GO:1990234)	467	12	13.34	-	.90	8.85E-01	1.00E00
nuclear membrane (GO:0031965)	156	4	4.46	-	.90	1.00E00	1.00E00
focal adhesion (GO:0005925)	198	5	5.66	-	.88	1.00E00	1.00E00
catalytic complex (GO:1902494)	792	20	22.62	-	.88	6.51E-01	1.00E00
synapse (GO:0045202)	438	11	12.51	-	.88	7.68E-01	1.00E00
leading edge membrane (GO:0031256)	80	2	2.29	-	.88	1.00E00	1.00E00
cell-substrate junction (GO:0030055)	200	5	5.71	-	.88	1.00E00	1.00E00
ficolin-1-rich granule (GO:0101002)	80	2	2.29	-	.88	1.00E00	1.00E00
plasma membrane bounded cell projection (GO:0120025)	846	21	24.16	-	.87	5.82E-01	1.00E00
neuronal cell body (GO:0043025)	162	4	4.63	-	.86	1.00E00	1.00E00
membrane raft (GO:0045121)	122	3	3.48	-	.86	1.00E00	1.00E00
intracellular protein-containing complex (GO:0140535)	448	11	12.80	-	.86	7.68E-01	1.00E00
cell leading edge (GO:0031252)	204	5	5.83	-	.86	1.00E00	1.00E00
membrane microdomain (GO:0098857)	123	3	3.51	-	.85	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	123	3	3.51	-	.85	1.00E00	1.00E00
platelet alpha granule (GO:0031091)	41	1	1.17	-	.85	1.00E00	1.00E00
vesicle tethering complex (GO:0099023)	41	1	1.17	-	.85	1.00E00	1.00E00
intrinsic component of organelle membrane (GO:0031300)	205	5	5.86	-	.85	1.00E00	1.00E00
nuclear envelope (GO:0005635)	248	6	7.08	-	.85	8.46E-01	1.00E00
integral component of endoplasmic reticulum membrane (GO:0030176)	83	2	2.37	-	.84	1.00E00	1.00E00
somatodendritic compartment (GO:0036477)	291	7	8.31	-	.84	8.56E-01	1.00E00
apical plasma membrane (GO:0016324)	125	3	3.57	-	.84	1.00E00	1.00E00
cell surface (GO:0009986)	251	6	7.17	-	.84	8.46E-01	1.00E00
cytoskeleton (GO:0005856)	1047	25	29.91	-	.84	3.67E-01	1.00E00
9+0 non-motile cilium (GO:0097731)	42	1	1.20	-	.83	1.00E00	1.00E00
ubiquitin ligase complex (GO:0000151)	168	4	4.80	-	.83	1.00E00	1.00E00
presynapse (GO:0098793)	170	4	4.86	-	.82	1.00E00	1.00E00
cell junction (GO:0030054)	768	18	21.94	-	.82	4.23E-01	1.00E00
neuron to neuron synapse (GO:0098984)	128	3	3.66	-	.82	1.00E00	1.00E00
presynaptic membrane (GO:0042734)	43	1	1.23	-	.81	1.00E00	1.00E00
histone deacetylase complex (GO:0000118)	43	1	1.23	-	.81	1.00E00	1.00E00
large ribosomal subunit (GO:0015934)	43	1	1.23	-	.81	1.00E00	1.00E00
extrinsic component of membrane (GO:0019898)	130	3	3.71	-	.81	1.00E00	1.00E00
chromosome (GO:0005694)	791	18	22.59	-	.80	3.64E-01	1.00E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	88	2	2.51	-	.80	1.00E00	1.00E00
ciliary transition zone (GO:0035869)	44	1	1.26	-	.80	1.00E00	1.00E00
secretory granule lumen (GO:0034774)	132	3	3.77	-	.80	1.00E00	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	88	2	2.51	-	.80	1.00E00	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	133	3	3.80	-	.79	1.00E00	1.00E00
chromatin (GO:0000785)	488	11	13.94	-	.79	4.83E-01	1.00E00
vesicle lumen (GO:0031983)	134	3	3.83	-	.78	1.00E00	1.00E00
neuron projection cytoplasm (GO:0120111)	45	1	1.29	-	.78	1.00E00	1.00E00
cytoplasmic stress granule (GO:0010494)	45	1	1.29	-	.78	1.00E00	1.00E00
cell body (GO:0044297)	183	4	5.23	-	.77	8.21E-01	1.00E00
supramolecular fiber (GO:0099512)	366	8	10.45	-	.77	5.21E-01	1.00E00
supramolecular polymer (GO:0099081)	367	8	10.48	-	.76	5.21E-01	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	46	1	1.31	-	.76	1.00E00	1.00E00
chromosome, telomeric region (GO:0000781)	92	2	2.63	-	.76	1.00E00	1.00E00
actin cytoskeleton (GO:0015629)	232	5	6.63	-	.75	6.88E-01	1.00E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	93	2	2.66	-	.75	1.00E00	1.00E00
polymeric cytoskeletal fiber (GO:0099513)	280	6	8.00	-	.75	5.84E-01	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	140	3	4.00	-	.75	8.00E-01	1.00E00
side of membrane (GO:0098552)	187	4	5.34	-	.75	8.22E-01	1.00E00
trans-Golgi network membrane (GO:0032588)	47	1	1.34	-	.74	1.00E00	1.00E00
early endosome (GO:0005769)	188	4	5.37	-	.74	8.22E-01	1.00E00
U2-type spliceosomal complex (GO:0005684)	48	1	1.37	-	.73	1.00E00	1.00E00
axoneme (GO:0005930)	48	1	1.37	-	.73	1.00E00	1.00E00
Golgi cisterna (GO:0031985)	48	1	1.37	-	.73	1.00E00	1.00E00
late endosome (GO:0005770)	145	3	4.14	-	.72	8.00E-01	1.00E00
neuron projection (GO:0043005)	488	10	13.94	-	.72	3.24E-01	1.00E00
Golgi apparatus (GO:0005794)	734	15	20.97	-	.72	1.97E-01	1.00E00
ciliary plasm (GO:0097014)	49	1	1.40	-	.71	1.00E00	1.00E00
inner mitochondrial membrane protein complex (GO:0098800)	50	1	1.43	-	.70	1.00E00	1.00E00
synaptic membrane (GO:0097060)	100	2	2.86	-	.70	1.00E00	1.00E00
integral component of mitochondrial membrane (GO:0032592)	50	1	1.43	-	.70	1.00E00	1.00E00
postsynapse (GO:0098794)	204	4	5.83	-	.69	6.66E-01	1.00E00
preribosome (GO:0030684)	51	1	1.46	-	.69	1.00E00	1.00E00
ribonucleoprotein complex (GO:1990904)	359	7	10.25	-	.68	4.12E-01	1.00E00
intrinsic component of mitochondrial membrane (GO:0098573)	52	1	1.49	-	.67	1.00E00	1.00E00
microtubule (GO:0005874)	211	4	6.03	-	.66	5.29E-01	1.00E00
non-motile cilium (GO:0097730)	53	1	1.51	-	.66	1.00E00	1.00E00
extrinsic component of plasma membrane (GO:0019897)	53	1	1.51	-	.66	1.00E00	1.00E00
nuclear protein-containing complex (GO:0140513)	745	14	21.28	-	.66	1.03E-01	1.00E00
supramolecular complex (GO:0099080)	535	10	15.28	-	.65	2.20E-01	1.00E00
cluster of actin-based cell projections (GO:0098862)	55	1	1.57	-	.64	1.00E00	1.00E00
cytoplasmic region (GO:0099568)	112	2	3.20	-	.63	7.72E-01	1.00E00
ficolin-1-rich granule lumen (GO:1904813)	56	1	1.60	-	.63	1.00E00	1.00E00
condensed chromosome (GO:0000793)	116	2	3.31	-	.60	7.74E-01	1.00E00
ribosomal subunit (GO:0044391)	58	1	1.66	-	.60	1.00E00	1.00E00
phagocytic vesicle (GO:0045335)	59	1	1.69	-	.59	1.00E00	1.00E00
endosome membrane (GO:0010008)	237	4	6.77	-	.59	4.21E-01	1.00E00
Golgi membrane (GO:0000139)	299	5	8.54	-	.59	2.84E-01	1.00E00
anchoring junction (GO:0070161)	359	6	10.25	-	.59	2.49E-01	1.00E00
postsynaptic density (GO:0014069)	122	2	3.48	-	.57	5.87E-01	1.00E00
histone acetyltransferase complex (GO:0000123)	61	1	1.74	-	.57	1.00E00	1.00E00
asymmetric synapse (GO:0032279)	122	2	3.48	-	.57	5.87E-01	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	61	1	1.74	-	.57	1.00E00	1.00E00
postsynaptic specialization (GO:0099572)	124	2	3.54	-	.56	5.87E-01	1.00E00
DNA-directed RNA polymerase complex (GO:0000428)	62	1	1.77	-	.56	1.00E00	1.00E00
postsynaptic membrane (GO:0045211)	62	1	1.77	-	.56	1.00E00	1.00E00
Golgi apparatus subcompartment (GO:0098791)	188	3	5.37	-	.56	4.98E-01	1.00E00
RNA polymerase complex (GO:0030880)	63	1	1.80	-	.56	1.00E00	1.00E00
endocytic vesicle membrane (GO:0030666)	64	1	1.83	-	.55	1.00E00	1.00E00
trans-Golgi network (GO:0005802)	129	2	3.68	-	.54	5.89E-01	1.00E00
endosome (GO:0005768)	456	7	13.02	-	.54	1.06E-01	1.00E00
cell projection membrane (GO:0031253)	132	2	3.77	-	.53	5.91E-01	1.00E00
protein acetyltransferase complex (GO:0031248)	67	1	1.91	-	.52	1.00E00	1.00E00
acetyltransferase complex (GO:1902493)	67	1	1.91	-	.52	1.00E00	1.00E00
peptidase complex (GO:1905368)	67	1	1.91	-	.52	1.00E00	1.00E00
cytoplasmic side of plasma membrane (GO:0009898)	68	1	1.94	-	.51	1.00E00	1.00E00
Golgi stack (GO:0005795)	68	1	1.94	-	.51	1.00E00	1.00E00
kinetochore (GO:0000776)	70	1	2.00	-	.50	7.24E-01	1.00E00
dendritic spine (GO:0043197)	71	1	2.03	-	.49	7.24E-01	1.00E00
microtubule associated complex (GO:0005875)	72	1	2.06	-	.49	7.24E-01	1.00E00
neuron spine (GO:0044309)	73	1	2.09	-	.48	7.24E-01	1.00E00
microbody (GO:0042579)	76	1	2.17	-	.46	7.26E-01	1.00E00
peroxisome (GO:0005777)	76	1	2.17	-	.46	7.26E-01	1.00E00
late endosome membrane (GO:0031902)	79	1	2.26	-	.44	7.28E-01	1.00E00
protein-DNA complex (GO:0032993)	81	1	2.31	-	.43	7.30E-01	1.00E00
transcription regulator complex (GO:0005667)	247	3	7.06	-	.43	1.66E-01	1.00E00
cytoplasmic side of membrane (GO:0098562)	83	1	2.37	-	.42	7.32E-01	1.00E00
recycling endosome (GO:0055037)	90	1	2.57	-	.39	5.22E-01	1.00E00
mitotic spindle (GO:0072686)	91	1	2.60	-	.38	5.22E-01	1.00E00
cell-cell junction (GO:0005911)	202	2	5.77	-	.35	1.31E-01	1.00E00
nuclear chromosome (GO:0000228)	102	1	2.91	-	.34	3.73E-01	1.00E00
lamellipodium (GO:0030027)	102	1	2.91	-	.34	3.73E-01	1.00E00
glutamatergic synapse (GO:0098978)	106	1	3.03	-	.33	3.73E-01	1.00E00
midbody (GO:0030496)	108	1	3.08	-	.32	3.74E-01	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	119	1	3.40	-	.29	2.65E-01	1.00E00
ribonucleoprotein granule (GO:0035770)	135	1	3.86	-	.26	1.88E-01	1.00E00
apical junction complex (GO:0043296)	59	0	1.69	-	 < 0.01	4.13E-01	1.00E00
apoptosome (GO:0043293)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase dependent transmembrane transport complex (GO:0098533)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic specialization membrane (GO:0098892)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
CHOP-C/EBP complex (GO:0036488)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
astrocyte projection (GO:0097449)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
spine apparatus (GO:0097444)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
hyaluranon cable (GO:0036117)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) (GO:0000275)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	25	0	.71	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor complex (GO:0098878)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
epididymosome (GO:0098875)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor complex (GO:1990265)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
microbody lumen (GO:0031907)	29	0	.83	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
endosome lumen (GO:0031904)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
SUMO ligase complex (GO:0106068)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
macropinosome (GO:0044354)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
pinosome (GO:0044352)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
ectoplasm (GO:0043265)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UBC13-UEV1A complex (GO:0035370)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
serine C-palmitoyltransferase complex (GO:0017059)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
laminin-11 complex (GO:0043260)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription repressor complex (GO:0017053)	38	0	1.09	-	 < 0.01	6.27E-01	1.00E00
PCNA-p21 complex (GO:0070557)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurofibrillary tangle (GO:0097418)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel complex (GO:0008076)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
growth factor complex (GO:0036454)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
laminin-10 complex (GO:0043259)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase III complex (GO:0035000)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
laminin complex (GO:0043256)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
actin-based cell projection (GO:0098858)	87	0	2.49	-	 < 0.01	1.79E-01	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic vesicle membrane (GO:0098850)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2-Toll-like receptor 6 protein complex (GO:0035355)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome (GO:0098845)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone membrane (GO:0098844)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone (GO:0098843)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
AIP1-IRE1 complex (GO:1990597)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
BRCA1-C complex (GO:0070533)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V0 domain (GO:0033179)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
BRCA1-B complex (GO:0070532)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
BRCA1-A complex (GO:0070531)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase complex (GO:0033176)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
dendritic spine neck (GO:0044326)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
postsynaptic density membrane (GO:0098839)	21	0	.60	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome (GO:0098837)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone (GO:0098833)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ARC complex (GO:0033167)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
melanosome membrane (GO:0033162)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
SPOTS complex (GO:0035339)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor receptor complex (GO:0035692)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
neuron projection terminus (GO:0044306)	39	0	1.11	-	 < 0.01	6.28E-01	1.00E00
calyx of Held (GO:0044305)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
main axon (GO:0044304)	21	0	.60	-	 < 0.01	1.00E00	1.00E00
MLL3/4 complex (GO:0044666)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	22	0	.63	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
cerebellar mossy fiber (GO:0044300)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
transcriptionally active chromatin (GO:0035327)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fibrillar center (GO:0001650)	78	0	2.23	-	 < 0.01	2.81E-01	1.00E00
histone H3-K14 acetyltransferase complex (GO:0036409)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
9+0 motile cilium (GO:0097728)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
