#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
EPAS1	EPAS1	Not DIU	0.80132	YES	2	404.21	343.03	249.12
EPB41	EPB41	Not DIU	0.15079	YES	3	433.02	464.52	358.61
EPB41L2	EPB41L2	Not DIU	0.47839	YES	2	302.67	202.4	237.35
EPB41L4A	EPB41L4A	Not DIU	0.51806	YES	2	67.07	142.59	74.21
EPC1	EPC1	Not DIU	0.96318	NO		240.25	233.79	258.8
EPDR1	EPDR1	Not DIU	0.6395	NO		357.72	295.44	349.29
EPG5	EPG5	DIU	0.017579	NO		483.4	524.84	436.11
EPHA4	EPHA4	Not DIU	0.68354	YES	3	46.64	40.83	44.23
EPHX1	EPHX1	Not DIU	0.99441	NO		88.6	76.79	107.21
EPM2A	EPM2A	Not DIU	0.4776	NO		1419.69	1466.71	780.33
EPM2AIP1	EPM2AIP1	Not DIU	0.89284	NO		285.14	302.21	401.55
EPN2	EPN2	DIU	0.014318	YES	1,2	69.39	68.04	68.69
EPS15	EPS15	Not DIU	0.058617	NO		560.39	476.02	499.32
EPS15L1	EPS15L1	Not DIU	0.19063	NO		170.75	204.73	161.52
EPS8	EPS8	Not DIU	0.32847	YES	2	278.99	225.02	170.54
ERAP1	ERAP1	Not DIU	0.12305	NO		213.99	162.25	240.7
ERBB2	ERBB2	DIU	1.0637E-8	YES	3	393.98	426.31	686.85
ERBB3	ERBB3	Not DIU	0.19282	NO		346.78	321.2	332.89
ERC1	ERC1	Not DIU	0.30704	NO		340.48	297.46	460.63
ERCC1	ERCC1	Not DIU	0.31422	YES	3	55.8	52.7	43.73
ERCC3	ERCC3	Not DIU	0.2447	NO		79.77	80.72	71.85
ERCC4	ERCC4	Not DIU	0.55882	NO		114.12	110.31	114.87
ERCC6	ERCC6	Not DIU	0.2103	YES	3	30.43	32.26	33.56
ERCC6L2	ERCC6L2	Not DIU	0.053503	NO		245.72	251.08	251.22
ERCC8	ERCC8	Not DIU	0.34448	YES	2	66.72	66.69	76.29
ERG	ERG	Not DIU	0.19924	NO		145.02	108.99	144.5
ERGIC3	ERGIC3	Not DIU	0.23635	NO		140.15	140.92	176.84
ERI2	ERI2	Not DIU	0.14691	YES	3	258.37	249.38	179.14
ERI3	ERI3	Not DIU	0.87875	NO		265.7	305.37	216.65
ERLEC1	ERLEC1	Not DIU	0.99441	NO		369.6	371.82	368.28
ERLIN2	ERLIN2	Not DIU	0.2189	NO		116.67	110.74	134.07
ERMARD	ERMARD	Not DIU	0.92515	NO		27.85	70.6	34.92
ERMP1	ERMP1	Not DIU	0.98233	NO		176.11	207.15	240.12
ERO1A	ERO1A	Not DIU	0.57884	NO		66.46	69.46	73.54
ERP44	ERP44	Not DIU	0.06176	YES	2	257.15	220.55	207.42
ESCO1	ESCO1	DIU	0.047524	NO		527.65	533.13	598.52
ESD	ESD	Not DIU	0.45026	NO		1075.65	1165.52	1284.71
ESF1	ESF1	Not DIU	0.14761	YES	2,3	149.66	125.33	117.2
ESR1	ESR1	Not DIU	0.31127	YES	1	421.24	252.55	309.46
ESRRG	ESRRG	Not DIU	0.31061	YES	1	43.89	48.13	64.14
ESS2	ESS2	Not DIU	0.73248	NO		80.48	82.25	96.92
ESYT1	ESYT1	Not DIU	0.21163	NO		231.53	200.78	273.03
ESYT2	ESYT2	Not DIU	0.53662	NO		850.05	973.24	985.99
ETAA1	ETAA1	Not DIU	0.84945	NO		133.34	142.63	139.53
ETFA	ETFA	Not DIU	0.9852	NO		2983.77	4310.0	2762.63
ETFDH	ETFDH	Not DIU	0.88327	NO		1897.36	3288.35	3163.95
ETFRF1	ETFRF1	Not DIU	0.93901	NO		429.04	507.69	403.72
ETS1	ETS1	Not DIU	0.961	NO		445.38	296.39	293.33
ETS2	ETS2	Not DIU	0.64264	YES	1,2	515.66	397.21	547.93
ETV3	ETV3	Not DIU	0.57884	NO		85.69	74.92	106.78
EVC	EVC	Not DIU	0.50571	YES	2	84.01	72.68	86.1
EVI5	EVI5	Not DIU	0.88125	YES	2	101.79	75.6	91.09
EWSR1	EWSR1	Not DIU	0.92017	NO		480.61	481.03	574.54
EXO5	EXO5	Not DIU	0.79041	NO		100.95	99.58	76.59
EXO5_ZNF684	EXO5_ZNF684	Not DIU	0.26656	YES	1	30.09	23.15	15.13
EXOC1	EXOC1	Not DIU	0.15269	NO		361.35	442.36	365.34
EXOC2	EXOC2	Not DIU	0.94315	NO		152.35	141.78	119.51
EXOC3	EXOC3	Not DIU	0.94418	NO		767.41	869.04	738.12
EXOC6	EXOC6	Not DIU	0.43597	NO		149.71	162.75	160.85
EXOC6B	EXOC6B	DIU	3.5765E-6	NO		171.68	166.22	154.23
EXOC7	EXOC7	Not DIU	0.94903	NO		469.42	530.88	490.56
EXOC8	EXOC8	Not DIU	0.96807	NO		166.4	162.06	148.19
EXOG	EXOG	Not DIU	0.80627	NO		60.37	63.29	44.07
EXOSC1	EXOSC1	Not DIU	0.702	YES	1	106.46	104.53	115.76
EXTL2	EXTL2	Not DIU	0.11575	YES	1,3	59.02	56.38	70.88
EXTL3	EXTL3	Not DIU	0.23274	NO		72.36	102.23	86.07
EXTL3_LOC113269942	EXTL3_LOC113269942	Not DIU	0.56107	NO		480.56	517.89	372.16
EYA1	EYA1	DIU	9.8885E-4	NO		112.68	162.56	128.22
EYA3	EYA3	Not DIU	0.70158	NO		127.04	119.09	152.88
EZH1	EZH1	Not DIU	0.78917	NO		333.85	321.23	321.34
EZR	EZR	Not DIU	0.7545	YES	2	164.08	86.22	162.31
F8	F8	Not DIU	0.71446	NO		359.42	326.42	334.01
FAAP100	FAAP100	Not DIU	0.99903	NO		66.41	60.83	41.61
FAF1	FAF1	Not DIU	0.63068	NO		1057.32	1189.14	1003.57
FAHD1	FAHD1	Not DIU	0.075716	NO		858.32	923.73	855.34
FAM104A	FAM104A	Not DIU	0.39669	NO		166.26	163.68	190.37
FAM107B	FAM107B	Not DIU	0.15455	YES	2	55.19	30.03	61.72
FAM110B	FAM110B	Not DIU	0.18171	YES	2	136.62	136.4	232.27
FAM110C	FAM110C	Not DIU	0.471	NO		97.13	54.0	82.9
FAM110D	FAM110D	Not DIU	0.97727	NO		50.42	40.41	60.08
FAM114A1	FAM114A1	Not DIU	0.8788	YES	1	118.81	59.34	100.86
FAM118B	FAM118B	Not DIU	0.11842	YES	3	286.58	310.07	249.52
FAM120B	FAM120B	Not DIU	0.81341	NO		207.8	180.59	223.63
FAM122A	FAM122A	Not DIU	0.12449	NO		96.06	116.56	107.05
FAM126A	FAM126A	Not DIU	0.72393	NO		164.8	148.98	162.97
FAM126B	FAM126B	Not DIU	0.51634	NO		77.94	74.66	98.75
FAM131A	FAM131A	Not DIU	0.3408	NO		145.74	208.2	159.01
FAM135A	FAM135A	Not DIU	0.40293	NO		122.85	132.29	139.8
FAM13A	FAM13A	Not DIU	0.21163	NO		400.11	422.93	509.37
FAM13B	FAM13B	Not DIU	0.34877	YES	1,3	134.75	77.87	79.34
FAM13C	FAM13C	Not DIU	0.43916	NO		462.66	726.63	498.37
FAM149A	FAM149A	Not DIU	0.61208	NO		52.65	54.06	44.94
FAM149B1	FAM149B1	Not DIU	0.51687	YES	2	355.92	344.88	437.81
FAM151B	FAM151B	Not DIU	0.19454	NO		66.55	64.57	59.39
FAM160A1	FAM160A1	DIU	3.7122E-5	NO		1790.29	2050.92	2432.78
FAM160A2	FAM160A2	Not DIU	0.74901	NO		44.41	49.06	31.8
FAM161A	FAM161A	Not DIU	0.91011	NO		27.12	38.3	56.26
FAM168A	FAM168A	Not DIU	0.19535	YES	1,2	168.59	126.24	158.76
FAM168B	FAM168B	Not DIU	0.30284	NO		233.78	195.63	306.73
FAM171A1	FAM171A1	Not DIU	0.36408	YES	2,3	67.69	35.71	67.91
FAM172A	FAM172A	Not DIU	0.31848	YES	1	278.72	303.85	340.91
FAM173A	FAM173A	Not DIU	0.058617	NO		112.55	105.13	83.14
FAM173B	FAM173B	Not DIU	0.15582	YES	2	48.33	51.73	33.6
FAM185A	FAM185A	Not DIU	0.45158	NO		72.2	82.06	36.26
FAM192A	FAM192A	Not DIU	0.85124	YES	1	191.24	209.13	210.75
FAM193A	FAM193A	Not DIU	0.5608	YES	2	83.03	62.37	78.73
FAM204A	FAM204A	Not DIU	0.35502	NO		163.2	189.31	130.98
FAM206A	FAM206A	Not DIU	0.16474	NO		59.56	66.89	54.8
FAM207A	FAM207A	Not DIU	0.30461	YES	3	104.48	108.12	137.79
FAM208A	FAM208A	Not DIU	0.86153	NO		374.74	368.23	381.39
FAM208B	FAM208B	Not DIU	0.64717	YES	1	195.29	180.87	208.99
FAM20B	FAM20B	Not DIU	0.37955	YES	2	115.88	136.83	151.52
FAM210A	FAM210A	Not DIU	0.3608	NO		240.4	304.58	205.82
FAM210B	FAM210B	Not DIU	0.55185	NO		724.8	662.11	498.45
FAM214A	FAM214A	DIU	0.024638	NO		401.53	495.66	411.69
FAM214B	FAM214B	Not DIU	0.73592	YES	2,3	48.22	58.55	40.27
FAM217B	FAM217B	DIU	0.0055985	NO		90.47	62.57	87.06
FAM219A	FAM219A	DIU	0.049804	NO		88.29	85.94	112.04
FAM219B	FAM219B	Not DIU	0.47508	NO		202.25	205.16	213.01
FAM234A	FAM234A	Not DIU	0.53814	NO		212.17	231.29	186.6
FAM234B	FAM234B	Not DIU	0.41447	NO		73.88	76.13	68.84
FAM3A	FAM3A	Not DIU	0.82666	NO		130.67	145.76	125.67
FAM45A	FAM45A	DIU	1.3743E-4	YES	1,2	141.17	111.14	87.86
FAM49B	FAM49B	Not DIU	0.85281	NO		84.03	112.5	117.42
FAM53A	FAM53A	Not DIU	0.87875	NO		63.01	89.23	92.42
FAM53C	FAM53C	Not DIU	0.49058	NO		236.73	262.74	270.11
FAM92A	FAM92A	Not DIU	0.37027	NO		74.23	88.03	70.86
FAM98A	FAM98A	Not DIU	0.67565	NO		423.23	449.24	407.1
FAR1	FAR1	Not DIU	0.094271	YES	2	377.05	481.07	315.1
FARP2	FARP2	Not DIU	0.99903	YES	2,3	123.06	121.7	125.28
FARSB	FARSB	Not DIU	0.40046	NO		433.65	514.5	449.69
FAS	FAS	Not DIU	0.76984	NO		116.94	143.4	99.14
FASTK	FASTK	Not DIU	0.35653	NO		886.27	907.64	761.8
FASTKD1	FASTKD1	Not DIU	0.69628	YES	1	89.5	120.79	97.79
FASTKD2	FASTKD2	Not DIU	0.78917	NO		387.09	455.1	301.59
FASTKD3	FASTKD3	Not DIU	0.93996	NO		106.62	103.38	71.3
FAT1	FAT1	Not DIU	0.79046	YES	1	799.31	577.72	634.75
FAT4	FAT4	Not DIU	0.40033	NO		363.78	200.84	421.3
FAXDC2	FAXDC2	Not DIU	0.78019	YES	3	78.68	55.06	100.67
FBH1	FBH1	Not DIU	0.90283	NO		378.86	399.73	271.48
FBLN1	FBLN1	Not DIU	0.90841	NO		705.89	398.84	450.88
FBLN2	FBLN2	Not DIU	0.58523	NO		928.31	523.5	553.55
FBLN5	FBLN5	Not DIU	0.51578	NO		201.82	189.88	171.6
FBLN7	FBLN7	Not DIU	0.89892	YES	3	82.43	36.44	37.59
FBXL14	FBXL14	Not DIU	0.56094	NO		44.89	49.32	58.99
FBXL17	FBXL17	Not DIU	0.98357	NO		289.37	273.7	330.02
FBXL3	FBXL3	Not DIU	0.67999	NO		312.26	326.59	303.21
FBXL4	FBXL4	Not DIU	0.4801	NO		258.91	275.13	264.29
FBXL5	FBXL5	Not DIU	0.96965	NO		586.27	664.74	594.88
FBXL7	FBXL7	Not DIU	0.88518	NO		50.91	30.24	37.3
FBXO11	FBXO11	Not DIU	0.9951	NO		300.33	274.53	240.21
FBXO21	FBXO21	DIU	0.011019	NO		370.76	371.05	354.69
FBXO3	FBXO3	Not DIU	0.58557	NO		599.09	679.98	761.96
FBXO34	FBXO34	Not DIU	0.33941	NO		214.88	208.98	187.55
FBXO38	FBXO38	Not DIU	0.10166	NO		109.26	52.55	89.63
FBXO40	FBXO40	Not DIU	0.30461	YES	1,2	4122.37	6028.69	3424.49
FBXO42	FBXO42	Not DIU	0.94315	NO		121.76	117.24	170.55
FBXO6	FBXO6	Not DIU	0.7932	NO		193.59	248.29	163.67
FBXO7	FBXO7	Not DIU	0.56246	YES	1	98.69	119.07	106.55
FBXO8	FBXO8	Not DIU	0.06686	YES	1	49.83	54.76	60.46
FBXO9	FBXO9	Not DIU	0.23545	NO		346.07	333.45	401.19
FBXW11	FBXW11	Not DIU	0.58093	NO		316.76	310.46	297.79
FBXW12	FBXW12	DIU	0.015825	YES	2	129.38	119.91	161.43
FBXW2	FBXW2	Not DIU	0.099815	NO		317.36	277.0	373.39
FBXW7	FBXW7	Not DIU	0.075919	NO		412.42	379.86	319.09
FCF1	FCF1	Not DIU	0.82075	NO		66.36	84.06	68.74
FDFT1	FDFT1	Not DIU	0.37555	NO		1350.98	1651.32	1893.64
FDPS	FDPS	Not DIU	0.31809	NO		186.24	186.74	140.48
FDX1	FDX1	Not DIU	0.97888	NO		205.24	250.83	171.47
FDXR	FDXR	Not DIU	0.89453	NO		36.08	49.22	40.53
FEM1B	FEM1B	Not DIU	0.23286	YES	1	769.69	737.11	765.64
FER	FER	Not DIU	0.32778	NO		73.59	54.15	83.85
FERMT2	FERMT2	Not DIU	0.4801	NO		952.04	874.08	1050.16
FGD4	FGD4	Not DIU	0.63198	NO		114.42	91.18	88.17
FGD5	FGD5	Not DIU	0.85119	NO		279.0	243.37	222.3
FGD6	FGD6	Not DIU	0.2103	YES	1	72.05	87.23	96.82
FGF1	FGF1	Not DIU	0.88518	NO		208.93	436.12	170.98
FGF2	FGF2	Not DIU	0.13026	YES	1	55.38	43.93	61.75
FGF7	FGF7	Not DIU	0.24951	NO		49.32	25.27	27.74
FGFR1	FGFR1	Not DIU	0.36586	NO		326.01	196.17	241.21
FGFR1OP	FGFR1OP	Not DIU	0.10365	NO		152.25	158.18	124.43
FGFR1OP2	FGFR1OP2	DIU	2.2697E-6	YES	3	160.16	152.71	135.74
FGGY	FGGY	Not DIU	0.97298	NO		299.74	366.09	407.6
FHL2	FHL2	Not DIU	0.11215	NO		331.14	774.47	201.16
FHL3	FHL3	Not DIU	0.86171	NO		2244.93	1937.93	1826.18
FHL5	FHL5	Not DIU	0.90385	NO		148.64	126.2	127.58
FHOD1	FHOD1	Not DIU	0.36417	NO		757.88	708.01	672.04
FHOD3	FHOD3	Not DIU	0.86323	NO		1082.17	1183.6	851.64
FICD	FICD	Not DIU	0.46861	YES	1,3	45.63	49.12	51.13
FIG4	FIG4	Not DIU	0.31754	NO		236.55	289.42	266.7
FILIP1	FILIP1	Not DIU	0.77163	NO		2079.05	1944.17	2202.02
FILIP1L	FILIP1L	DIU	0.0027862	YES	3	157.01	83.18	150.53
FILIP1L_LOC113250506	FILIP1L_LOC113250506	DIU	0.004132	NO		1371.13	1097.42	1014.24
FIP1L1	FIP1L1	Not DIU	0.68372	YES	3	216.44	233.66	209.16
FITM2	FITM2	Not DIU	0.83635	YES	3	152.52	164.73	210.84
FKBP15	FKBP15	Not DIU	0.15415	YES	2	69.0	67.84	93.57
FKBP2	FKBP2	Not DIU	0.75492	NO		59.87	60.69	55.14
FKBP5	FKBP5	DIU	4.0808E-7	YES	1	751.74	639.94	419.25
FKBP8	FKBP8	Not DIU	0.75446	NO		423.02	459.73	480.05
FKTN	FKTN	Not DIU	0.55624	YES	1	97.23	88.58	94.66
FLAD1	FLAD1	Not DIU	0.41452	NO		88.09	97.15	67.71
FLCN	FLCN	Not DIU	0.16458	YES	3	295.78	317.92	222.88
FLI1	FLI1	Not DIU	0.79695	NO		101.56	62.29	80.73
FLNA	FLNA	Not DIU	0.89448	NO		2014.76	1135.04	1952.4
FLNB	FLNB	Not DIU	0.38743	NO		323.13	220.85	209.58
FLOT2	FLOT2	Not DIU	0.66016	NO		219.15	273.0	320.08
FLT1	FLT1	Not DIU	0.8509	NO		728.69	611.96	618.48
FLT3LG	FLT3LG	Not DIU	0.069878	YES	2,3	28.73	28.9	35.75
FMN1	FMN1	Not DIU	0.62157	NO		53.32	139.88	77.96
FMNL2	FMNL2	Not DIU	0.86171	NO		74.21	58.44	69.82
FMO2	FMO2	Not DIU	0.99768	NO		192.64	147.78	167.09
FMR1	FMR1	Not DIU	0.38249	YES	2	45.76	41.48	59.48
FN1	FN1	Not DIU	0.95762	YES	1	7274.01	1347.21	2334.23
FNBP1	FNBP1	DIU	0.0016709	YES	2,3	45.67	47.4	63.79
FNBP1L	FNBP1L	Not DIU	0.48051	NO		127.89	106.02	108.8
FNBP4	FNBP4	Not DIU	0.10769	NO		171.12	136.56	158.1
FNDC3A	FNDC3A	Not DIU	0.3802	YES	1	142.79	91.95	131.17
FNDC3B	FNDC3B	Not DIU	0.18171	NO		352.85	280.17	326.63
FNIP2	FNIP2	Not DIU	0.33859	NO		271.47	268.1	215.49
FNTA	FNTA	Not DIU	0.2938	NO		615.63	654.68	746.25
FOPNL	FOPNL	Not DIU	0.050996	NO		138.22	142.65	125.74
FOS	FOS	Not DIU	0.82545	NO		54.54	50.46	186.71
FOXJ2	FOXJ2	Not DIU	0.41482	NO		162.11	149.25	198.36
FOXJ3	FOXJ3	Not DIU	0.20188	NO		409.88	440.59	522.64
FOXK2	FOXK2	Not DIU	0.99768	NO		375.98	353.81	412.04
FOXN2	FOXN2	Not DIU	0.63053	NO		203.0	231.77	231.21
FOXN3	FOXN3	Not DIU	0.32257	NO		2009.77	2183.61	2556.88
FOXO3	FOXO3	Not DIU	0.72152	NO		669.07	632.18	564.54
FOXP1	FOXP1	Not DIU	0.72603	YES	2,3	134.45	102.18	145.12
FPGS	FPGS	Not DIU	0.43962	YES	1	44.77	37.85	32.51
FREM1	FREM1	Not DIU	0.67565	YES	1	33.56	21.09	30.27
FRMD1	FRMD1	Not DIU	0.97471	YES	1,3	8.59	42.48	54.52
FRMD4B	FRMD4B	Not DIU	0.52998	NO		133.17	85.84	73.08
FRMD6	FRMD6	DIU	0.017865	YES	3	169.18	107.09	152.7
FRS2	FRS2	Not DIU	0.8746	NO		94.12	91.07	102.53
FRYL	FRYL	Not DIU	0.88968	NO		349.76	293.38	318.39
FSCN1	FSCN1	Not DIU	0.62305	NO		225.7	120.23	143.59
FSD1L	FSD1L	Not DIU	0.98785	NO		845.97	910.86	1005.06
FTSJ1	FTSJ1	Not DIU	0.31767	NO		107.88	100.18	93.57
FTSJ3	FTSJ3	Not DIU	0.83052	YES	3	96.14	85.79	91.12
FUBP1	FUBP1	Not DIU	0.052443	NO		331.43	362.45	272.54
FUCA2	FUCA2	Not DIU	0.11575	NO		333.16	449.5	315.07
FUOM	FUOM	Not DIU	0.96965	NO		158.65	210.63	174.11
FUS	FUS	Not DIU	0.49272	YES	2	261.19	228.32	291.6
FUT10	FUT10	Not DIU	0.61496	NO		99.07	72.64	132.57
FXR1	FXR1	Not DIU	0.18171	NO		8294.79	8284.55	9007.29
FXR2	FXR2	Not DIU	0.2875	NO		1846.6	2206.3	1741.94
FXYD6	FXYD6	Not DIU	0.68856	NO		144.15	90.3	121.31
FYCO1	FYCO1	Not DIU	0.87098	NO		3230.4	3507.02	3593.37
FYN	FYN	Not DIU	0.27321	NO		80.6	49.62	51.65
FZD1	FZD1	Not DIU	0.99441	NO		63.31	39.38	78.43
FZD6	FZD6	Not DIU	0.94521	YES	3	152.28	111.61	125.47
FZR1	FZR1	Not DIU	0.70618	NO		179.8	168.46	172.52
G2E3	G2E3	Not DIU	0.35598	NO		52.95	55.15	58.8
G3BP2	G3BP2	Not DIU	0.66704	NO		589.4	524.36	509.54
GAA	GAA	Not DIU	0.40056	NO		168.67	167.07	94.1
GAB1	GAB1	Not DIU	0.51497	YES	2	293.32	262.63	244.5
GABPA	GABPA	Not DIU	0.91935	NO		163.44	158.92	165.48
GABPB2	GABPB2	Not DIU	0.30461	NO		126.81	97.02	139.6
GADL1	GADL1	Not DIU	0.73632	YES	3	808.01	407.26	59.74
GAK	GAK	Not DIU	0.10777	YES	1	74.27	58.86	94.86
GALK2	GALK2	Not DIU	0.18276	YES	3	82.77	83.03	98.73
GALNT10	GALNT10	Not DIU	0.19163	YES	1	142.64	151.69	111.69
GALNT11	GALNT11	Not DIU	0.086767	YES	1,3	290.95	311.84	263.08
GALNT15	GALNT15	Not DIU	0.97928	NO		137.34	159.75	185.91
GANAB	GANAB	Not DIU	0.82105	NO		339.45	303.88	258.62
GANC	GANC	Not DIU	0.11857	NO		80.54	85.34	83.46
GAPVD1	GAPVD1	Not DIU	0.7435	NO		368.85	324.34	342.96
GAREM1	GAREM1	DIU	2.4314E-8	NO		58.95	40.08	49.09
GART	GART	Not DIU	0.99136	YES	1	500.2	576.07	501.61
GATAD2A	GATAD2A	Not DIU	0.29868	NO		145.4	131.74	157.96
GATB	GATB	Not DIU	0.66192	NO		297.46	335.51	224.21
GATD1	GATD1	Not DIU	0.77356	YES	3	155.29	142.18	203.05
GBA	GBA	Not DIU	0.99441	NO		22.55	30.62	40.04
GBA2	GBA2	Not DIU	0.31525	NO		92.76	76.69	131.74
GBF1	GBF1	Not DIU	0.11995	NO		657.54	571.67	605.2
GCDH	GCDH	Not DIU	0.65778	NO		557.21	786.18	346.99
GCFC2	GCFC2	Not DIU	0.24279	YES	2	18.28	28.04	28.38
GCLC	GCLC	Not DIU	0.33941	NO		308.44	367.63	168.5
GDAP1	GDAP1	Not DIU	0.98816	NO		120.48	94.24	168.45
GDAP1L1	GDAP1L1	Not DIU	0.22985	YES	3	42.11	32.51	42.92
GDAP2	GDAP2	Not DIU	0.58468	NO		160.84	137.38	165.5
GDE1	GDE1	Not DIU	0.3802	NO		494.67	576.12	472.6
GDI2	GDI2	Not DIU	0.97852	NO		1032.22	1057.21	1006.87
GEMIN4	GEMIN4	Not DIU	0.18722	NO		198.5	213.53	236.5
GEMIN5	GEMIN5	DIU	0.038855	NO		369.71	381.18	491.22
GEMIN8	GEMIN8	Not DIU	0.070735	NO		75.94	72.05	67.42
GFM1	GFM1	Not DIU	0.99441	NO		2171.13	2364.9	1301.92
GFM2	GFM2	Not DIU	0.060266	YES	1	292.73	373.12	235.92
GFOD2	GFOD2	Not DIU	0.44876	NO		116.83	108.64	122.74
GFPT1	GFPT1	Not DIU	0.88878	NO		350.97	331.04	452.61
GFRA1	GFRA1	Not DIU	0.34169	NO		84.67	69.95	64.8
GGA1	GGA1	DIU	0.039592	YES	2,3	379.11	411.24	396.26
GGA2	GGA2	Not DIU	0.70618	NO		62.1	42.42	85.51
GGACT	GGACT	Not DIU	0.28641	YES	1,2	40.08	39.29	24.65
GGNBP2	GGNBP2	Not DIU	0.88327	NO		344.2	333.55	304.26
GGPS1	GGPS1	DIU	3.8221E-4	YES	1,2	150.95	185.51	149.4
GHITM	GHITM	Not DIU	0.99441	NO		2430.8	2871.7	1772.18
GHR	GHR	Not DIU	0.76326	NO		1685.54	1735.16	1372.03
GID8	GID8	Not DIU	0.29738	NO		146.3	153.32	189.74
GIGYF2	GIGYF2	Not DIU	0.29868	YES	3	712.97	607.6	657.5
GINM1	GINM1	DIU	3.9447E-7	YES	3	460.7	450.64	531.39
GIT2	GIT2	Not DIU	0.66074	NO		45.3	29.07	29.42
GJA4	GJA4	Not DIU	0.97126	NO		59.11	50.8	35.3
GK	GK	Not DIU	0.3175	NO		77.92	160.38	62.95
GK5	GK5	Not DIU	0.45158	NO		133.38	179.6	152.12
GKAP1	GKAP1	Not DIU	0.99768	NO		168.61	170.78	203.22
GLB1	GLB1	Not DIU	0.77339	NO		99.21	99.47	70.14
GLDN	GLDN	Not DIU	0.92438	YES	1	57.18	33.02	28.79
GLMN	GLMN	Not DIU	0.40042	YES	2	50.38	44.06	38.45
GLOD4	GLOD4	Not DIU	0.62623	NO		263.45	297.42	356.4
GLRX2	GLRX2	Not DIU	0.15582	NO		54.07	61.0	47.9
GLS	GLS	Not DIU	0.47705	NO		206.03	132.94	124.0
GLYR1	GLYR1	Not DIU	0.88711	NO		226.08	236.2	233.69
GMEB1	GMEB1	Not DIU	0.1649	NO		113.84	97.97	76.22
GMFB	GMFB	Not DIU	0.11878	NO		86.21	74.01	79.76
GMPPA	GMPPA	Not DIU	0.84851	YES	3	122.35	130.24	101.47
GMPR	GMPR	DIU	0.0032604	YES	1,2	857.58	926.89	795.86
GMPR2	GMPR2	DIU	1.1679E-7	YES	1,2	70.53	72.86	73.44
GNA12	GNA12	Not DIU	0.87875	NO		152.39	141.16	135.42
GNA13	GNA13	Not DIU	0.57884	NO		408.67	345.21	400.38
GNAI3	GNAI3	Not DIU	0.93147	NO		156.05	104.44	171.39
GNB1	GNB1	Not DIU	0.53754	NO		357.84	287.94	326.99
GNB4	GNB4	Not DIU	0.47807	NO		143.92	96.2	118.32
GNE	GNE	Not DIU	0.2672	NO		176.78	217.43	142.51
GNG12	GNG12	DIU	3.7598E-4	NO		114.57	63.61	93.83
GNL1	GNL1	Not DIU	0.61767	YES	1,2	232.0	209.3	306.3
GNL2	GNL2	Not DIU	0.66028	NO		330.02	385.27	380.19
GNL3	GNL3	Not DIU	0.41941	NO		120.31	126.86	141.08
GNPAT	GNPAT	Not DIU	0.93407	NO		836.33	1041.09	741.89
GNPDA2	GNPDA2	Not DIU	0.37898	NO		84.96	92.58	57.39
GNPNAT1	GNPNAT1	Not DIU	0.17777	NO		50.85	64.04	44.53
GNPTAB	GNPTAB	Not DIU	0.24984	NO		1039.2	1005.97	1011.79
GNS	GNS	Not DIU	0.82745	NO		364.4	314.45	385.22
GOLGA1	GOLGA1	Not DIU	0.15706	NO		124.58	128.16	140.27
GOLGA2	GOLGA2	Not DIU	0.28641	NO		458.68	414.64	430.83
GOLGA3	GOLGA3	Not DIU	0.82502	NO		400.7	425.59	447.22
GOLGB1	GOLGB1	Not DIU	0.2563	YES	3	483.04	411.25	507.04
GOLIM4	GOLIM4	Not DIU	0.22713	NO		310.13	213.85	232.43
GOLM1	GOLM1	Not DIU	0.3802	NO		103.33	78.65	123.21
GOLPH3L	GOLPH3L	Not DIU	0.98227	NO		124.66	110.1	117.24
GOPC	GOPC	Not DIU	0.81369	NO		260.36	285.04	303.5
GORASP1	GORASP1	Not DIU	0.14761	YES	3	574.38	700.26	358.45
GORASP2	GORASP2	Not DIU	0.43916	NO		333.47	342.31	335.9
GOSR1	GOSR1	Not DIU	0.34713	NO		195.3	182.8	203.34
GOSR2	GOSR2	DIU	1.0646E-9	YES	2	145.76	146.0	161.88
GPAM	GPAM	Not DIU	0.49058	YES	3	243.92	342.6	297.89
GPANK1	GPANK1	Not DIU	0.3608	NO		131.9	164.12	136.67
GPAT3	GPAT3	Not DIU	0.4801	YES	1	72.76	109.13	60.87
GPAT4	GPAT4	Not DIU	0.64027	NO		1298.85	1405.62	1188.82
GPATCH1	GPATCH1	Not DIU	0.90371	NO		126.82	159.56	134.37
GPATCH11	GPATCH11	Not DIU	0.77163	YES	2	113.59	136.67	118.55
GPATCH2	GPATCH2	Not DIU	0.055757	NO		41.91	31.97	42.61
GPATCH2L	GPATCH2L	Not DIU	0.38746	YES	2,3	281.36	258.23	277.64
GPATCH4	GPATCH4	Not DIU	0.29066	NO		56.6	45.44	62.14
GPATCH8	GPATCH8	Not DIU	0.75227	NO		200.07	172.72	217.18
GPBP1	GPBP1	Not DIU	0.63625	NO		698.46	656.66	608.79
GPBP1L1	GPBP1L1	Not DIU	0.34448	NO		1085.99	1145.59	1149.54
GPCPD1	GPCPD1	DIU	3.0788E-4	NO		204.72	152.22	74.42
GPD1	GPD1	Not DIU	0.97254	NO		5646.2	6076.15	4592.72
GPD1L	GPD1L	Not DIU	0.32257	NO		3705.07	5147.5	2805.85
