




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
melanosome membrane (GO:0033162)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
SPOTS complex (GO:0035339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor receptor complex (GO:0035692)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal vesicle (GO:0001669)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuron projection terminus (GO:0044306)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
calyx of Held (GO:0044305)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell cilium (GO:0097733)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
main axon (GO:0044304)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
MLL3/4 complex (GO:0044666)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
9+0 non-motile cilium (GO:0097731)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
non-motile cilium (GO:0097730)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cerebellar mossy fiber (GO:0044300)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
transcriptionally active chromatin (GO:0035327)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase complex (GO:1990204)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
fibrillar center (GO:0001650)	49	0	.39	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetyltransferase complex (GO:0036409)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
9+2 motile cilium (GO:0097729)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription elongation factor complex (GO:0008023)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex (GO:0008385)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of membrane (GO:0019898)	89	0	.71	-	 < 0.01	1.00E00	1.00E00
extrinsic component of plasma membrane (GO:0019897)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
amyloid-beta complex (GO:0106003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mCRD-mediated mRNA stability complex (GO:0106002)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
bleb (GO:0032059)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
myelin sheath (GO:0043209)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase complex (GO:1905202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perikaryon (GO:0043204)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
axon hillock (GO:0043203)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lysosomal lumen (GO:0043202)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
Ku70:Ku80 complex (GO:0043564)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Myc-Max complex (GO:0071943)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
XPC complex (GO:0071942)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
axon cytoplasm (GO:1904115)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex (GO:0098803)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
plasma membrane signaling receptor complex (GO:0098802)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
inner mitochondrial membrane protein complex (GO:0098800)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
melanosome (GO:0042470)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DSIF complex (GO:0032044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small-subunit processome (GO:0032040)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
core mediator complex (GO:0070847)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric repeat region (GO:0140445)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
integrator complex (GO:0032039)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
eRF1 methyltransferase complex (GO:0035657)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor connecting cilium (GO:0032391)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex (GO:0043540)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cleavage body (GO:0071920)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid-translocating ATPase complex (GO:1990531)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
outer membrane (GO:0019867)	81	0	.65	-	 < 0.01	1.00E00	1.00E00
organelle inner membrane (GO:0019866)	157	0	1.25	-	 < 0.01	6.35E-01	1.00E00
leading edge of lamellipodium (GO:0061851)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex (GO:0032389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NELF complex (GO:0032021)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic density (GO:0014069)	86	0	.69	-	 < 0.01	1.00E00	1.00E00
paraferritin complex (GO:0070826)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Sin3-type complex (GO:0070822)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network membrane (GO:0033106)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tertiary granule membrane (GO:0070821)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
tertiary granule (GO:0070820)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
aggresome (GO:0016235)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear pore nuclear basket (GO:0044615)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
inclusion body (GO:0016234)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
nuclear pore central transport channel (GO:0044613)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Cdc73/Paf1 complex (GO:0016593)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear pore inner ring (GO:0044611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mediator complex (GO:0016592)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
dynein axonemal particle (GO:0120293)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
ACF complex (GO:0016590)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase complex (GO:0043527)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CD40 receptor complex (GO:0035631)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
phagolysosome (GO:0032010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CST complex (GO:1990879)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of nuclear pore (GO:1990876)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CLOCK-BMAL transcription complex (GO:1990513)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
omegasome membrane (GO:1903349)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NURF complex (GO:0016589)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RSC-type complex (GO:0016586)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase complex (GO:0016222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
early phagosome (GO:0032009)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
NuRD complex (GO:0016581)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Sin3 complex (GO:0016580)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
senescence-associated heterochromatin focus (GO:0035985)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase complex (GO:1904423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polysomal ribosome (GO:0042788)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor complex (GO:0008328)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
exon-exon junction subcomplex mago-y14 (GO:1990501)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head (GO:0061827)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome complex (GO:0000502)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
transcription factor AP-1 complex (GO:0035976)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
death-inducing signaling complex (GO:0031264)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
male pronucleus (GO:0001940)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex (GO:0031261)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of Golgi membrane (GO:0030173)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
female pronucleus (GO:0001939)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA cap binding complex (GO:0034518)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
lamellipodium membrane (GO:0031258)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
proteasome storage granule (GO:0034515)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell trailing edge (GO:0031254)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endoplasmic reticulum membrane (GO:0042406)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
uropod (GO:0001931)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear inclusion body (GO:0042405)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
PAN complex (GO:0031251)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin complex (GO:0008305)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
caspase complex (GO:0008303)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
7SK snRNP (GO:0120259)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein acetyltransferase complex (GO:0031248)	46	0	.37	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric core domain (GO:0034506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ER ubiquitin ligase complex (GO:0000835)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment (GO:0001917)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
intrinsic component of the cytoplasmic side of the plasma membrane (GO:0031235)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic proteasome complex (GO:0031597)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
intrinsic component of external side of plasma membrane (GO:0031233)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of external side of plasma membrane (GO:0031232)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of peroxisomal membrane (GO:0031231)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
centrosomal corona (GO:0031592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium coat (GO:0120234)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory granule (GO:0030141)	205	0	1.64	-	 < 0.01	4.09E-01	1.00E00
trans-Golgi network transport vesicle (GO:0030140)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase complex (GO:1902562)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
GMP reductase complex (GO:1902560)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of nuclear inner membrane (GO:0031229)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of Golgi membrane (GO:0031228)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
anchored component of membrane (GO:0031225)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
presynaptic membrane (GO:0042734)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
nuclear MIS12/MIND complex (GO:0000818)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth cone filopodium (GO:1990812)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcoplasmic reticulum (GO:0016529)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex (GO:0000815)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcoplasm (GO:0016528)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle (GO:0030137)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
ESCRT II complex (GO:0000814)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ESCRT I complex (GO:0000813)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
Swr1 complex (GO:0000812)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
clathrin coat of coated pit (GO:0030132)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor complex (GO:0030131)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
clathrin coat of trans-Golgi network vesicle (GO:0030130)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
basal body patch (GO:0120220)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoribonuclease complex (GO:1902555)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
serine/threonine protein kinase complex (GO:1902554)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex (GO:0032302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex (GO:0032301)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex (GO:0032300)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
calpain complex (GO:0110158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tertiary granule lumen (GO:1904724)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
RSF complex (GO:0031213)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum palmitoyltransferase complex (GO:0031211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
origin recognition complex (GO:0000808)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
clathrin coat of endocytic vesicle (GO:0030128)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
X chromosome (GO:0000805)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coat (GO:0030127)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
CHRAC (GO:0008623)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
COPI vesicle coat (GO:0030126)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sex chromosome (GO:0000803)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
epsilon DNA polymerase complex (GO:0008622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin vesicle coat (GO:0030125)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
AP-4 adaptor complex (GO:0030124)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SWI/SNF complex (GO:0016514)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
lateral element (GO:0000800)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
core-binding factor complex (GO:0016513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AP-2 adaptor complex (GO:0030122)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex (GO:0030121)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle coat (GO:0030120)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
SCAR complex (GO:0031209)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Sec62/Sec63 complex (GO:0031207)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum Sec complex (GO:0031205)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space protein transporter complex (GO:0042719)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthesis complex (GO:0110142)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
AP-type membrane coat adaptor complex (GO:0030119)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
clathrin coat (GO:0030118)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
membrane coat (GO:0030117)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
actin cap (GO:0030478)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polkadots (GO:0002096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
caveolar macromolecular signaling complex (GO:0002095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycocalyx (GO:0030112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor outer segment (GO:0120200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
keratin filament (GO:0045095)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
outer acrosomal membrane (GO:0002081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal membrane (GO:0002080)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of synaptic membrane (GO:0099240)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex (GO:0032994)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex (GO:0032993)	46	0	.37	-	 < 0.01	1.00E00	1.00E00
Scc2-Scc4 cohesin loading complex (GO:0090694)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ER membrane insertion complex (GO:0072379)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inner acrosomal membrane (GO:0002079)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic membrane (GO:0097060)	67	0	.53	-	 < 0.01	1.00E00	1.00E00
telomerase holoenzyme complex (GO:0005697)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
U4atac snRNP (GO:0005690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin filament (GO:0032982)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor complex (GO:0070195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cap methyltransferase complex (GO:0031533)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U12-type spliceosomal complex (GO:0005689)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
U6 snRNP (GO:0005688)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U4 snRNP (GO:0005687)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U2 snRNP (GO:0005686)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
U1 snRNP (GO:0005685)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
U2-type spliceosomal complex (GO:0005684)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
U7 snRNP (GO:0005683)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U5 snRNP (GO:0005682)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	91	0	.73	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex (GO:0005680)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
shelterin complex (GO:0070187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
filopodium membrane (GO:0031527)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
brush border membrane (GO:0031526)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
Myb complex (GO:0031523)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PTW/PP1 phosphatase complex (GO:0072357)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
chromatin silencing complex (GO:0005677)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIF complex (GO:0005674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIE complex (GO:0005673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIA complex (GO:0005672)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization (GO:0099572)	90	0	.72	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton (GO:0099571)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycoprotein complex (GO:0090665)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DRM complex (GO:0070176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PcG protein complex (GO:0031519)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (m1A) methyltransferase complex (GO:0031515)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIID complex (GO:0005669)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
transcription regulator complex (GO:0005667)	170	0	1.36	-	 < 0.01	6.44E-01	1.00E00
site of polarized growth (GO:0030427)	61	0	.49	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton (GO:0099569)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III complex (GO:0005666)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
growth cone (GO:0030426)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
cytoplasmic region (GO:0099568)	67	0	.53	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, core complex (GO:0005665)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA replication factor C complex (GO:0005663)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA replication factor A complex (GO:0005662)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translocon complex (GO:0071256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic U snRNP body (GO:0071254)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tight junction (GO:0070160)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
MPP7-DLG1-LIN7 complex (GO:0097025)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glial cell projection (GO:0097386)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase complex (GO:0031501)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha DNA polymerase:primase complex (GO:0005658)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor disc membrane (GO:0097381)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
replication fork (GO:0005657)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
nuclear pre-replicative complex (GO:0005656)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleolar ribonuclease P complex (GO:0005655)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear lamina (GO:0005652)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
kinocilium (GO:0060091)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glomerular endothelium fenestra (GO:0036053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary plasm (GO:0097014)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
snRNA-activating protein complex (GO:0019185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle lumen (GO:0097013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic spindle (GO:0072687)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
annulate lamellae (GO:0005642)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear envelope lumen (GO:0005641)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear outer membrane (GO:0005640)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Nem1-Spo7 phosphatase complex (GO:0071595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP-Insig complex (GO:0032937)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial degradosome (GO:0045025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell body membrane (GO:0044298)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cell body (GO:0044297)	128	0	1.02	-	 < 0.01	6.25E-01	1.00E00
