




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
response to dsDNA (GO:1990784)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phenylalanyl-tRNA aminoacylation (GO:0006432)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of neuron maturation (GO:0014041)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of Schwann cell differentiation (GO:0014040)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial depolarization (GO:0051882)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial membrane potential (GO:0051881)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
osteoblast development (GO:0002076)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glandular epithelial cell maturation (GO:0002071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell maturation (GO:0002070)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to hypoxia (GO:0071456)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
cellular response to hyperoxia (GO:0071455)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to anoxia (GO:0071454)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen levels (GO:0071453)	54	0	.43	-	 < 0.01	1.00E00	1.00E00
cellular response to superoxide (GO:0071451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen radical (GO:0071450)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Schwann cell differentiation (GO:0014038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Schwann cell differentiation (GO:0014037)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
protein localization to cell periphery (GO:1990778)	88	0	.70	-	 < 0.01	1.00E00	1.00E00
pigment granule aggregation in cell center (GO:0051877)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to angiotensin (GO:1990776)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA aminoacylation (GO:0006424)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neural crest cell differentiation (GO:0014033)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
pigment granule localization (GO:0051875)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
cysteinyl-tRNA aminoacylation (GO:0006423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neural crest cell development (GO:0014032)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
aspartyl-tRNA aminoacylation (GO:0006422)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell development (GO:0014031)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
killing by host of symbiont cells (GO:0051873)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
asparaginyl-tRNA aminoacylation (GO:0006421)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
columnar/cuboidal epithelial cell maturation (GO:0002069)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
arginyl-tRNA aminoacylation (GO:0006420)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glandular epithelial cell development (GO:0002068)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glandular epithelial cell differentiation (GO:0002067)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
columnar/cuboidal epithelial cell development (GO:0002066)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
columnar/cuboidal epithelial cell differentiation (GO:0002065)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
chondrocyte development (GO:0002063)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
chondrocyte differentiation (GO:0002062)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
cellular response to hydroperoxide (GO:0071447)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H3-K14 acetylation (GO:0071441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neural crest formation (GO:0014029)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K14 acetylation (GO:0071440)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alanyl-tRNA aminoacylation (GO:0006419)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation for protein translation (GO:0006418)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
translational termination (GO:0006415)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
translational elongation (GO:0006414)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
translational initiation (GO:0006413)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
myofibroblast contraction (GO:1990764)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation (GO:0006412)	104	0	.83	-	 < 0.01	1.00E00	1.00E00
primary neural tube formation (GO:0014020)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
positive regulation of mesenchymal cell proliferation (GO:0002053)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuroblast proliferation (GO:0002052)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
osteoblast fate commitment (GO:0002051)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of epithelial cell apical/basal polarity (GO:0045199)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of epithelial cell apical/basal polarity (GO:0045198)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of neuroblast polarity (GO:0045196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of isotype switching (GO:0045191)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
isotype switching (GO:0045190)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA export from nucleus (GO:0006409)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
snRNA export from nucleus (GO:0006408)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of signal transduction by p53 class mediator (GO:1901798)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
rRNA export from nucleus (GO:0006407)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of signal transduction by p53 class mediator (GO:1901797)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
mRNA export from nucleus (GO:0006406)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of gliogenesis (GO:0014015)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of signal transduction by p53 class mediator (GO:1901796)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
RNA export from nucleus (GO:0006405)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
negative regulation of gliogenesis (GO:0014014)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA import into nucleus (GO:0006404)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of gliogenesis (GO:0014013)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system axon regeneration (GO:0014012)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA catabolic process (GO:0006402)	53	0	.42	-	 < 0.01	1.00E00	1.00E00
RNA catabolic process (GO:0006401)	60	0	.48	-	 < 0.01	1.00E00	1.00E00
Schwann cell proliferation (GO:0014010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA modification (GO:0006400)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell migration involved in sprouting angiogenesis (GO:0002042)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
sprouting angiogenesis (GO:0002040)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
zonula adherens assembly (GO:0045186)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location (GO:0045185)	38	0	.30	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell proliferation (GO:0071425)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transport (GO:0071423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transport (GO:0071422)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transport (GO:0071421)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glial cell proliferation (GO:0014009)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
benzoyl-CoA metabolic process (GO:1901787)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular detoxification (GO:1990748)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
microglia development (GO:0014005)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microglia differentiation (GO:0014004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte development (GO:0014003)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
astrocyte development (GO:0014002)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
primary miRNA methylation (GO:1990744)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein sialylation (GO:1990743)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of L-glutamate import across plasma membrane (GO:0002038)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of L-glutamate import across plasma membrane (GO:0002037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of L-glutamate import across plasma membrane (GO:0002036)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
brain renin-angiotensin system (GO:0002035)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of blood vessel diameter homeostasis by renin-angiotensin (GO:0002034)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor internalization (GO:0002031)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
apical protein localization (GO:0045176)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to amine stimulus (GO:0071418)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to organonitrogen compound (GO:0071417)	159	0	1.27	-	 < 0.01	6.37E-01	1.00E00
cellular response to purine-containing compound (GO:0071415)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cytolysis by host of symbiont cells (GO:0051838)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to manganese-induced endoplasmic reticulum stress (GO:1990737)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion transport (GO:0002028)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of heart rate (GO:0002027)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of the force of heart contraction (GO:0002026)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
diet induced thermogenesis (GO:0002024)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to dietary excess (GO:0002021)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in cell fate commitment (GO:0045168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell fate commitment (GO:0045165)	46	0	.37	-	 < 0.01	1.00E00	1.00E00
cellular response to cycloheximide (GO:0071409)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to organic cyclic compound (GO:0071407)	137	0	1.09	-	 < 0.01	6.27E-01	1.00E00
clustering of voltage-gated sodium channels (GO:0045162)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuronal ion channel clustering (GO:0045161)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to low-density lipoprotein particle stimulus (GO:0071404)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to high density lipoprotein particle stimulus (GO:0071403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to ATP (GO:0033198)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular response to lipoprotein particle stimulus (GO:0071402)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
response to vitamin E (GO:0033197)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to oleic acid (GO:0071400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hydroperoxide (GO:0033194)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
primary miRNA modification (GO:1990729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synapse structural plasticity (GO:0051823)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of renal output by angiotensin (GO:0002019)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
renin-angiotensin regulation of aldosterone production (GO:0002018)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of blood volume by renin-angiotensin (GO:0002016)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
morphogenesis of an epithelial sheet (GO:0002011)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
response to vitamin A (GO:0033189)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone ubiquitination (GO:0033184)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone ubiquitination (GO:0033183)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of histone ubiquitination (GO:0033182)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
trehalose metabolic process (GO:0005991)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
male anatomical structure morphogenesis (GO:0090598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sensory organ morphogenesis (GO:0090596)	54	0	.43	-	 < 0.01	1.00E00	1.00E00
meiotic sister chromatid segregation (GO:0045144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homologous chromosome segregation (GO:0045143)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
inflammatory response to wounding (GO:0090594)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic telomere clustering (GO:0045141)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone organization (GO:1990709)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
calcineurin-NFAT signaling cascade (GO:0033173)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
lactose biosynthetic process (GO:0005989)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of myoblast fusion (GO:1901741)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lactose metabolic process (GO:0005988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of myoblast fusion (GO:1901740)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleolar chromatin organization (GO:1990700)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sucrose metabolic process (GO:0005985)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
disaccharide metabolic process (GO:0005984)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
starch catabolic process (GO:0005983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
starch metabolic process (GO:0005982)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycogen catabolic process (GO:0005980)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
development of primary sexual characteristics (GO:0045137)	50	0	.40	-	 < 0.01	1.00E00	1.00E00
development of secondary sexual characteristics (GO:0045136)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic chromosome segregation (GO:0045132)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H3-K9 demethylation (GO:0033169)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
conversion of ds siRNA to ss siRNA involved in RNA interference (GO:0033168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of myoblast fusion (GO:1901739)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of glycogen biosynthetic process (GO:0005979)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of platelet aggregation (GO:1901731)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycogen biosynthetic process (GO:0005978)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
glycogen metabolic process (GO:0005977)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
polysaccharide metabolic process (GO:0005976)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of bone resorption (GO:0045124)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular extravasation (GO:0045123)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular protein transport (GO:0033157)	92	0	.73	-	 < 0.01	1.00E00	1.00E00
neuron death (GO:0070997)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
T cell receptor V(D)J recombination (GO:0033153)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
NADPH oxidation (GO:0070995)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone deacetylase activity (GO:1901727)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin V(D)J recombination (GO:0033152)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone deacetylase activity (GO:1901726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
V(D)J recombination (GO:0033151)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of histone deacetylase activity (GO:1901725)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell proliferation involved in kidney development (GO:1901724)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell proliferation involved in kidney development (GO:1901723)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation involved in kidney development (GO:1901722)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
azole transmembrane transport (GO:0045117)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein neddylation (GO:0045116)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of integrin biosynthetic process (GO:0045113)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular estrogen receptor signaling pathway (GO:0033147)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidative demethylation (GO:0070989)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
demethylation (GO:0070988)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
error-free translesion synthesis (GO:0070987)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
left/right axis specification (GO:0070986)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intermediate filament organization (GO:0045109)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of membrane permeability (GO:0090559)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
establishment of endothelial intestinal barrier (GO:0090557)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
intermediate filament-based process (GO:0045103)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-serine phosphorylation (GO:0033137)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
protein K11-linked ubiquitination (GO:0070979)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-serine phosphorylation (GO:0033135)	38	0	.30	-	 < 0.01	1.00E00	1.00E00
bone maturation (GO:0070977)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of glucokinase activity (GO:0033133)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of glucokinase activity (GO:0033132)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glucokinase activity (GO:0033131)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum exit site (GO:0070973)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	268	0	2.14	-	 < 0.01	2.71E-01	1.00E00
response to oxygen-containing compound (GO:1901700)	385	0	3.07	-	 < 0.01	6.96E-02	1.00E00
positive regulation of histone phosphorylation (GO:0033129)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone phosphorylation (GO:0033128)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of histone phosphorylation (GO:0033127)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of RNA splicing (GO:0033120)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid transport (GO:0001579)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
globoside biosynthetic process (GO:0001576)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
globoside metabolic process (GO:0001575)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ganglioside biosynthetic process (GO:0001574)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ganglioside metabolic process (GO:0001573)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
vasculogenesis (GO:0001570)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA splicing (GO:0033119)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil mediated killing of gram-negative bacterium (GO:0070951)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil mediated killing of bacterium (GO:0070950)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
branching involved in blood vessel morphogenesis (GO:0001569)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
antiviral innate immune response (GO:0140374)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
actin filament reorganization (GO:0090527)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to protozoan (GO:0001562)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid alpha-oxidation (GO:0001561)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
vesicle tethering involved in exocytosis (GO:0090522)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell growth by extracellular stimulus (GO:0001560)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingolipid mediated signaling pathway (GO:0090520)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil mediated killing of symbiont cell (GO:0070949)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil mediated cytotoxicity (GO:0070948)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neutrophil-mediated killing of gram-negative bacterium (GO:0070945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neutrophil-mediated killing of bacterium (GO:0070944)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neutrophil-mediated killing of symbiont cell (GO:0070943)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neutrophil mediated cytotoxicity (GO:0070942)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
antibacterial innate immune response (GO:0140367)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell growth (GO:0001558)	122	0	.97	-	 < 0.01	1.00E00	1.00E00
oocyte maturation (GO:0001556)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
luteolysis (GO:0001554)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP transmembrane import across plasma membrane (GO:0140361)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
luteinization (GO:0001553)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ovarian cumulus expansion (GO:0001550)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tooth eruption (GO:0044691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-UTR-mediated mRNA stabilization (GO:0070935)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
CRD-mediated mRNA stabilization (GO:0070934)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
histone H4 deacetylation (GO:0070933)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3 deacetylation (GO:0070932)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-dependent endocytosis (GO:2000397)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquitin-dependent endocytosis (GO:2000395)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of lamellipodium morphogenesis (GO:2000394)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of neutrophil extravasation (GO:2000391)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
antral ovarian follicle growth (GO:0001547)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
lipid import into cell (GO:0140354)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
preantral ovarian follicle growth (GO:0001546)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid export from cell (GO:0140353)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
export from cell (GO:0140352)	79	0	.63	-	 < 0.01	1.00E00	1.00E00
initiation of primordial ovarian follicle growth (GO:0001544)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epiboly involved in wound healing (GO:0090505)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
epiboly (GO:0090504)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
ovulation from ovarian follicle (GO:0001542)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
ovarian follicle development (GO:0001541)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis (GO:0090501)	49	0	.39	-	 < 0.01	1.00E00	1.00E00
endocardial cushion to mesenchymal transition (GO:0090500)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small RNA loading onto RISC (GO:0070922)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
