




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
L-methionine-(S)-S-oxide reductase activity (GO:0036456)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-2'-O-)-methyltransferase activity (GO:0008650)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
selenocysteine insertion sequence binding (GO:0035368)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity (GO:0016229)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity (GO:0005388)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex binding (GO:0062078)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
catalytic activity, acting on a nucleic acid (GO:0140640)	221	0	.29	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingomyelin synthase activity (GO:0033188)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-ketoglutarate transmembrane transporter activity (GO:0015139)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine-type endopeptidase activity (GO:0004298)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
H3K9me3 modified histone binding (GO:0062072)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H4-R3 specific) (GO:0044020)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA methyltransferase activity (GO:0008649)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin transmembrane transporter activity (GO:0015132)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
salt transmembrane transporter activity (GO:1901702)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SAM domain binding (GO:0032093)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like modifier activating enzyme activity (GO:0008641)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
GARP complex binding (GO:0062069)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
co-receptor binding (GO:0039706)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transporter activity (GO:0005375)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA desaturase activity (GO:0016215)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex binding (GO:0062065)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transporter activity (GO:0015129)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP complex binding (GO:0062064)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kynurenine-oxoglutarate transaminase activity (GO:0016212)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bilirubin transmembrane transporter activity (GO:0015127)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid transmembrane transporter activity (GO:0015125)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
H2B histone acetyltransferase activity (GO:0044013)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxylysine kinase activity (GO:0047992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
opioid growth factor receptor activity (GO:0140625)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
taurine:sodium symporter activity (GO:0005369)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
antioxidant activity (GO:0016209)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
taurine transmembrane transporter activity (GO:0005368)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP binding (GO:0016208)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose phosphate transmembrane transporter activity (GO:0015119)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thiosulfate transmembrane transporter activity (GO:0015117)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transporter activity (GO:0015116)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphate ion transmembrane transporter activity (GO:0015114)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-phosphoserine phosphatase activity (GO:0036424)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyprenyltransferase activity (GO:0002094)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate adenylate kinase activity (GO:0046899)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type manganese transporter activity (GO:0140613)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial transcription factor activity (GO:0034246)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA damage sensor activity (GO:0140612)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transporter activity (GO:0005355)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transporter activity (GO:0005353)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transporter activity (GO:0015108)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate:proton symporter activity (GO:0005351)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bicarbonate transmembrane transporter activity (GO:0015106)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transporter activity (GO:0015103)	30	0	.04	-	 < 0.01	1.00E00	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP hydrolase activity (GO:0106177)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vanadium ion transmembrane transporter activity (GO:0015100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate decaprenyltransferase activity (GO:0002083)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanosine phosphorylase activity (GO:0047975)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor binding (GO:0035325)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase A regulatory subunit binding (GO:0034237)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase A catalytic subunit binding (GO:0034236)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP transmembrane transporter activity (GO:0005347)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI anchor binding (GO:0034235)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide transmembrane transporter activity (GO:0005346)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
D-loop DNA binding (GO:0062037)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
organic acid:sodium symporter activity (GO:0005343)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transporter activity (GO:0005342)	32	0	.04	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase activity (GO:0004252)	25	0	.03	-	 < 0.01	1.00E00	1.00E00
alkylglycerone-phosphate synthase activity (GO:0008609)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase regulator activity (GO:0008607)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid binding (GO:0032052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin light chain binding (GO:0032051)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase regulator activity (GO:0008603)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin heavy chain binding (GO:0032050)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA N-acetyltransferase activity (GO:0106162)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome-activating activity (GO:0036402)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine N-benzoyltransferase activity (GO:0047962)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-3' exodeoxyribonuclease activity (GO:0035312)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine N-acyltransferase activity (GO:0047961)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ephrin receptor binding (GO:0046875)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonin:sodium symporter activity (GO:0005335)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metal ion binding (GO:0046872)	1152	0	1.53	-	 < 0.01	3.48E-01	1.00E00
norepinephrine:sodium symporter activity (GO:0005334)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cadmium ion binding (GO:0046870)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
dopamine:sodium symporter activity (GO:0005330)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor binding (GO:0033130)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine 3-dioxygenase activity (GO:0106157)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H3-K14 specific) (GO:0032041)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylated histone binding (GO:0106153)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol dehydrogenase [NADP+] activity (GO:0047956)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleobase binding (GO:0002060)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity (GO:0047952)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter:sodium symporter activity (GO:0005328)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter transmembrane transporter activity (GO:0005326)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transporter activity (GO:0005324)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide N-acetyltransferase activity (GO:0034212)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein kinase activity (GO:0034211)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP hydrolysis activity (GO:0016887)	113	0	.15	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming phosphoric ester bonds (GO:0016886)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-carbon bonds (GO:0016885)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin II heavy chain binding (GO:0032038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclo-ligase activity (GO:0016882)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acid-amino acid ligase activity (GO:0016881)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin heavy chain binding (GO:0032036)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
acid-ammonia (or amide) ligase activity (GO:0016880)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate binding (GO:1904399)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin II head/neck binding (GO:0032034)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-TEFb complex binding (GO:0106140)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase binding (GO:0002054)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucuronolactone reductase activity (GO:0047941)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid transporter activity (GO:0005319)	42	0	.06	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acid-thiol ligase activity (GO:0016878)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transmembrane transporter activity (GO:0005310)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-oxygen bonds (GO:0016875)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
ligase activity (GO:0016874)	54	0	.07	-	 < 0.01	1.00E00	1.00E00
myosin head/neck binding (GO:0032028)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin light chain binding (GO:0032027)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase activity (GO:0004222)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
m7G(5')pppN diphosphatase activity (GO:0050072)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glucuronate reductase activity (GO:0047939)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase [NAD(P)] activity (GO:0047936)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NADP+) activity (GO:0047935)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NAD+) activity (GO:0047934)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
creatine:sodium symporter activity (GO:0005309)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
creatine transmembrane transporter activity (GO:0005308)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylphosphatidylethanolamine-specific phospholipase D activity (GO:0070290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity, phosphotransferases (GO:0016868)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting keto- and enol-groups (GO:0016862)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain-fatty-acyl-CoA reductase activity (GO:0050062)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain-aldehyde dehydrogenase activity (GO:0050061)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
p53 binding (GO:0002039)	33	0	.04	-	 < 0.01	1.00E00	1.00E00
ferritin receptor activity (GO:0070287)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cis-trans isomerase activity (GO:0016859)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
methyl indole-3-acetate esterase activity (GO:0080030)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity (GO:0016854)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
isomerase activity (GO:0016853)	46	0	.06	-	 < 0.01	1.00E00	1.00E00
insulin receptor substrate binding (GO:0043560)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin B6 binding (GO:0070279)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
protease binding (GO:0002020)	47	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4-phosphate binding (GO:0070273)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
metal ion:proton antiporter activity (GO:0051139)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-sulfur lyase activity (GO:0016846)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-leucine:2-oxoglutarate aminotransferase activity (GO:0050048)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
strictosidine synthase activity (GO:0016844)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amine-lyase activity (GO:0016843)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
delta7-sterol 5(6)-desaturase activity (GO:0050046)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amidine-lyase activity (GO:0016842)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen lyase activity (GO:0016840)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin binding (GO:0043559)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA reductase (alcohol-forming) activity (GO:0080019)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-tyrosyl-DNA phosphodiesterase activity (GO:0070260)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase inhibitor activity (GO:0046811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydro-lyase activity (GO:0016836)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity (GO:0016835)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
oxo-acid-lyase activity (GO:0016833)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aldehyde-lyase activity (GO:0016832)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-carbon lyase activity (GO:0016830)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase binding (GO:0043548)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin transmembrane transporter activity (GO:0090482)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
tyrosyl-DNA phosphodiesterase activity (GO:0070259)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sugar transmembrane transporter activity (GO:0051119)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase binding (GO:0051117)	32	0	.04	-	 < 0.01	1.00E00	1.00E00
lyase activity (GO:0016829)	49	0	.07	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (GO:0016823)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyanocobalamin reductase (cyanide-eliminating) activity (GO:0033787)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds (GO:0016822)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor activity (GO:0004897)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytokine receptor activity (GO:0004896)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
L-fuconate dehydratase activity (GO:0050023)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase activator activity (GO:0043539)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol 1,3,4,5 tetrakisphosphate binding (GO:0043533)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP binding (GO:0043531)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
adenosine 5'-monophosphoramidase activity (GO:0043530)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	217	0	.29	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides (GO:0016817)	217	0	.29	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	30	0	.04	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	39	0	.05	-	 < 0.01	1.00E00	1.00E00
Lys63-specific deubiquitinase activity (GO:0061578)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
glucocorticoid receptor activity (GO:0004883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
heme binding (GO:0020037)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
FMN transmembrane transporter activity (GO:0044610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
leucine zipper domain binding (GO:0043522)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
polyubiquitin modification-dependent protein binding (GO:0031593)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
mRNA binding involved in posttranscriptional gene silencing (GO:1903231)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type carboxypeptidase activity (GO:0016807)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dipeptidase activity (GO:0016805)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear receptor activity (GO:0004879)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
ether hydrolase activity (GO:0016803)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trialkylsulfonium hydrolase activity (GO:0016802)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on ether bonds (GO:0016801)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
protein adenylylhydrolase activity (GO:0044603)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kinetochore binding (GO:0043515)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
actin monomer binding (GO:0003785)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor (GO:0052890)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase inhibitor activity (GO:0004869)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase inhibitor activity (GO:0004867)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
endopeptidase inhibitor activity (GO:0004866)	33	0	.04	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase inhibitor activity (GO:0004864)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
actin binding (GO:0003779)	155	0	.21	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule motor activity (GO:0003777)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase inhibitor activity (GO:0004860)	24	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoskeletal motor activity (GO:0003774)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
angiotensin type I receptor activity (GO:0001596)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-UTR AU-rich region binding (GO:0035925)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
angiotensin receptor activity (GO:0001595)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase inhibitor activity (GO:0004859)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
enzyme inhibitor activity (GO:0004857)	99	0	.13	-	 < 0.01	1.00E00	1.00E00
L-methionine:thioredoxin-disulfide S-oxidoreductase activity (GO:0033744)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oleoyl-CoA ligase activity (GO:0090434)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA ligase activity (GO:0090433)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen-III synthase activity (GO:0004852)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinol-n 3-O-methyltransferase activity (GO:0061542)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3' overhang single-stranded DNA endodeoxyribonuclease activity (GO:1990599)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
calcidiol binding (GO:1902118)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
electron transfer activity (GO:0009055)	24	0	.03	-	 < 0.01	1.00E00	1.00E00
misfolded protein binding (GO:0051787)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
uridine kinase activity (GO:0004849)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-pyrroline dehydrogenase activity (GO:0033737)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
WW domain binding (GO:0050699)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
